IPLAUKU_DATA;SALTINIO_PAV;IMOKOS_KODAI;APRASYMAS;SUMA
01-FEB-16;VMI;22K;"Pajamos iš mokesčių inspekcijos";1431922.87
27-JAN-16;VMI;22K;"Pajamos iš mokesčių inspekcijos";138798.47
15-JAN-16;VMI;22K;"Pajamos iš mokesčių inspekcijos";919274.04
15-DEC-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";72456.12
15-DEC-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";61407.67
15-DEC-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1406634.57
05-NOV-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";553816.11
20-OCT-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";425441.86
16-OCT-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";2994476.37
25-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";704095.88
28-AUG-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";137935.56
27-AUG-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";397976.99
26-AUG-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";208024.74
25-AUG-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";357830.01
24-AUG-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";211371.43
21-AUG-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";203444.84
12-AUG-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";460744.19
16-JUL-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";3233218.19
15-JUL-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1635855.29
14-JUL-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";723844.75
13-JUL-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";868011.98
10-JUL-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";749846.94
19-JUN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";354086.63
22-JUN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";397079.23
21-MAY-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";265819.32
18-MAY-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";2595915.34
14-MAY-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";741084.45
12-MAY-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";592113.77
04-MAY-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";3480905.81
03-APR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";932358.17
30-MAR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";630841.4
17-FEB-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";2738356.93
06-FEB-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1726381.58
06-JAN-16;VMI;22K;"Pajamos iš mokesčių inspekcijos";1578468.61
07-DEC-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";965654.45
04-DEC-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";596831.61
11-NOV-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";834390.59
02-OCT-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";620371.1
01-OCT-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";3616097.5
20-AUG-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";269574.89
19-AUG-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";529767.99
28-JUL-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";214150.62
03-JUL-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";467670.97
07-MAY-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";528604.6
24-APR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";241735.49
17-APR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";34921.35
17-APR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";550003.64
15-APR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1653171.86
10-APR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";879404.03
01-APR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";3704839.48
19-MAR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";279372.87
16-MAR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";2681776.62
09-MAR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";942541.73
25-FEB-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";115079.98
19-FEB-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";488136.14
29-JAN-16;VMI;22K;"Pajamos iš mokesčių inspekcijos";238721.52
26-JAN-16;VMI;22K;"Pajamos iš mokesčių inspekcijos";270898.88
06-JAN-16;VMI;22K;"Pajamos iš mokesčių inspekcijos";449352.75
05-JAN-16;VMI;22K;"Pajamos iš mokesčių inspekcijos";1059940.86
05-JAN-16;VMI;22K;"Pajamos iš mokesčių inspekcijos";2073.6
05-JAN-16;VMI;22K;"Pajamos iš mokesčių inspekcijos";1744454.2
05-JAN-16;VMI;22K;"Pajamos iš mokesčių inspekcijos";15569.83
05-JAN-16;VMI;22K;"Pajamos iš mokesčių inspekcijos";3000
23-DEC-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";8898.09
23-DEC-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";32866.85
23-DEC-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";605722.93
23-NOV-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";388297.69
04-NOV-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";578063.94
24-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";598112.01
10-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";408564.23
10-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";120099.03
18-AUG-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1525120.72
17-AUG-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";915401.76
17-AUG-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1620620.41
14-AUG-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";895273.12
13-AUG-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";679944.65
04-AUG-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";479069.72
26-JUN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";670577.8
16-JUN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";3413874.1
03-JUN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";268645.37
04-JUN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";309769.87
28-MAY-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";516098.28
25-MAY-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";167851.71
22-MAY-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";427534.67
15-MAY-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1310056.86
13-APR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";925387.84
08-APR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";490714.92
31-MAR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1178803.18
18-MAR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";777781.28
03-MAR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";5153.63
05-FEB-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1608241.12
04-FEB-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";265851.77
04-FEB-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";629007.14
04-FEB-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";26678.74
04-FEB-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";109655.98
04-FEB-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";497740.67
04-FEB-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";230733.91
04-FEB-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1375929.06
04-FEB-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";494460.13
04-FEB-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";43215.36
13-FEB-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1167446.3
20-NOV-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";180796.49
09-OCT-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";697201.24
21-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";300756.17
04-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";73806.52
04-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";213000.98
09-JUN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";622401.45
08-JUN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1254521.82
06-MAY-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";2793640.84
06-MAY-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";710737.49
30-APR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";697253.81
23-APR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";391883.17
24-MAR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";540632.21
03-FEB-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";3070384.09
03-FEB-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";5432649.28
30-JAN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";529519.74
02-FEB-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";2425481.16
18-DEC-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";643960.08
10-NOV-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1090389.25
10-NOV-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";119454.28
03-NOV-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1189969.96
30-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1100015.55
23-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";867498.77
06-MAY-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";63789.67
30-APR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";210051.75
20-APR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";572569.46
07-APR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";956639.9
26-MAR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";951745.76
06-MAR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1063097.47
23-FEB-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";396374.92
11-FEB-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1094348.05
29-JAN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";362047.03
31-DEC-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";379863.81
31-DEC-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";128538.41
31-DEC-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";681936.65
31-DEC-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";2311397
31-DEC-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1434.33
17-NOV-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";2724236.51
08-OCT-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";818084.85
18-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";371849.69
03-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";52501.85
03-SEP-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";290860.11
03-AUG-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1897521.26
20-MAY-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";435337.34
11-MAY-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1358443.52
28-APR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";527848.78
14-APR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";719698.72
02-APR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";666576.97
25-MAR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";651631.74
09-JAN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";10272.6
09-JAN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";138007.57
09-JAN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";3743.29
09-JAN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";110576.49
09-JAN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";8550.33
09-JAN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";301639.39
09-JAN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";52.13
09-JAN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";1860.5
09-JAN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";2832.21
09-JAN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";763539.9
09-JAN-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";75838.72
20-MAR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";465357.38
24-FEB-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";380476.11
02-MAR-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";868850.11
26-FEB-15;VMI;22K;"Pajamos iš mokesčių inspekcijos";195743.72
