SISTEMINIS_NUMERIS;DEPARTAMENTAS;SUTARTIES_TIPAS;SUTARTIES_NUMERIS;SUDARYMO_METAI;SUTARTIES_PRADZIOS_DATA;SUTARTIES_PABAIGOS_DATA;TIEKEJAS;TIEKEJO_KODAS;SUTARTIES_APRASAS;SUTARTIES_SUMA
7670;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";A64-143/15(3.10.22-AD4);2015;11-SEP-15;31-OCT-15;"Skalvijos kino teatras VŠĮ";122240248;"Naujamiesčio bendruomenės ikimokyklinio amžiaus bei pradinių klasių vaikų edukaciniai renginiai.";2990
7722;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";A16-680/15(2.1.28-AD4);2015;03-SEP-15;23-SEP-15;"Advokatų kontora TGS BALTIC (Advokatų kontora Tark Grunte Sutkienė ir partneriai)";9400550;"Teisinės paslaugos";1960.2
7723;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";;2015;21-SEP-15;30-SEP-15;"Advokatų kontora TGS BALTIC (Advokatų kontora Tark Grunte Sutkienė ir partneriai)";9400550;"Teisinės paslaugos";3484.8
7724;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";A252-483/15;2015;21-SEP-15;30-SEP-15;"Advokatų kontora TGS BALTIC (Advokatų kontora Tark Grunte Sutkienė ir partneriai)";9400550;"Teisines paslaugos";3484.8
7733;"Vilniaus miesto savivaldybės administracija";"Sutarties priedas";A64-188/15(3.10.22-AD4);2015;22-OCT-15;;"Lietuvos paštas, AB";121215587;"Socialinių išmokų išmokėjimo ir pristatymo į namus paslaugos";
7738;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";A64-176/15(3.10.22-AD4);2015;07-OCT-15;18-OCT-15;"UAB Fortūna Travel";125315777;"Edukacinės išvykos į Lenkiją organizavimo paslaugos";
7757;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";A64-165/15(3.10.22-AD4);2015;24-SEP-15;03-OCT-15;"GMM projektai, VšĮ";301712612;"Pirkimas atliekamas vykdant Senamiesčio seniūnijos veiklos programą. Renginys organizuotas 2015-10-03 aikštelėje šalia pastato Gėlių g. 9 (Gėlių kalnas) ir skirtas bendruomeniškumo ir geros kaimynystės skatinimui.";1440
7769;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";A64-200/15(3.10.22-TD2);2015;06-NOV-15;22-DEC-15;"Init, UAB";132658751;"Interneto ir telekomunikacijų paslaugų teikimas Fabijoniškių bendruomenei";843.42
7770;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";A64-190/15(3.10.22-AD4);2015;26-OCT-15;20-DEC-15;"UAB ""Evitus""";303670852;"Fabijoniškių bendruomenės internetinis puslapis";2870
7771;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";A64-201/15(3.10.22-TD2);2015;06-NOV-15;20-DEC-15;"Init, UAB";132658751;"Reklamos paslaugos ir laidos transliavimas apie Fabijoniškių bendruomenę";1960.2
7612;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";A62-45/15(3.10.21-AD4);2015;05-JUN-15;05-AUG-15;"UAB ""Langų dizainas""";302513353;"Pastato Vandens g. 9 remonto darbai";5105.17
7625;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";29-379(1.2.16-AD4);2015;22-SEP-15;31-DEC-15;"Vilniaus policijos klubas vaikams ir jaunimui, VŠĮ";125453454;"Veikos išlaidoms apmokėti";3000
7662;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";A64-164/15(3.10.22-AD4);2015;24-SEP-15;03-OCT-15;"asociacija ""Šventė visiems""";300647243;"Sporto šventės organizavimas Grigiškių seniūnijoje";2729.75
7700;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";A64-151115(3.10.22-AD4);2015;16-SEP-15;25-SEP-15;"Muzikos turo pramogos, VšĮ";302558900;"Renginių ""Pasitikime rudenį salininkuose"" ir ""Naujininkų bendruomenės asociacijos įventės"" rechninis aprūpinimas";2896.05
7760;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";"A62- 69/15 (3.10.21-AD4)";2015;04-AUG-15;15-SEP-15;"UAB Vilniaus kalviai";224214420;"gelužio ežero pliažo infrastruktūros senų sulūžusių elementų demontavimo, remonto, naujų pagaminimo ir įrengimo darbai";4975.35
7763;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";"A64-196/15(3.10.21 - TD2)";2015;04-NOV-15;04-DEC-15;nuasmeninta;nuasmeninta;"Kalėdų šventės organizavimas";2800
7764;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";A62-78/15(3.10.21-AD4);2015;26-AUG-15;30-NOV-15;"Fabregas, UAB";303089936;"Poilsio zon7 remonto darbai";6986.54
7773;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";A72-1295/15(3.1.36-TD2)/59;2015;05-NOV-15;05-NOV-14;"Vilkpėdės ligoninė, VŠĮ";124245322;"SOCIALINĖS GLOBOS PASLAUGŲ TEIKIMO SENYVO AMŽIAUS IR NEĮGALIEMS ASMENIMS SUTARTIS";
7800;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";A68-21/15(3.10.23-AD4);2015;10-SEP-15;10-SEP-16;"OFFICE SYSTEM, UAB";300051282;"Pagrindinė sutartis Nr. CPO71529";39524.35
7810;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";A64-208/15(3.10.22-TD2);2015;20-NOV-15;30-DEC-15;nuasmeninta;nuasmeninta;"Šeškinės gyventojų bendruomeniškumą skatinančių renginių organizavimas";2995
7813;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";A68-47/15(3.10.23-TD2);2015;20-NOV-15;20-NOV-16;"OFFICE SYSTEM, UAB";300051282;"Pagrindinė sutartis CPO00448";154.15
7814;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";A68-48/15(3.10.23-TD2);2015;23-NOV-15;23-NOV-16;"Mineraliniai vandenys ir alus, UAB";222777320;"Pagrindinė sutartis CPO000449";209.33
7673;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";A55-9701/15;2015;08-OCT-15;09-OCT-15;"G.Zinkevičienės PĮ";124901029;"Įvairūs maisto produktai  renginiams organizuoti";1002.41
