SASKAITOS_METAI;KREDITORIUS;KREDITORIAUS_NR;SUTARTIES_NR;SASKAITOS_DATA;SASKAITOS_NR;DK_DATA;TERMS_DATE;TREMINAS;VALIUTA;INVOICE_TYPE_LOOKUP_CODE;FIN_SALTINIS;PRIEMONE;SAMATA;EKON_KLAS;ASIGNAV_VALDYTOJAS;ASIGN_VALD_APRASAS;EILUTES_SUMA;APMOKETA_SUMA;SKOLOS_SUMA;SKOLOS_SUMA_ES;DEPARTAMENTAS
2022;"Ignitis, UAB";303383884;;30-JUN-22;INI146556;30-JUN-22;30-JUN-22;Nedelsiant;EUR;STANDARD;01;201030102;4000011;2.2.1.1.1.20.2.;188710061;"Savivaldybės administracija";1038.46;0;1038.46;;"Vilniaus lopšelis-darželis ""Jovarėlis"" EUR"
2022;"Ignitis, UAB";303383884;;30-JUN-22;INI146556;30-JUN-22;30-JUN-22;Nedelsiant;EUR;STANDARD;01;201030102;4000011;2.2.1.1.1.20.2.;188710061;"Savivaldybės administracija";884.35;0;884.35;;"Vilniaus lopšelis-darželis Varpelis EUR"
2022;"Ignitis, UAB";303383884;;30-JUN-22;INI146556;30-JUN-22;30-JUN-22;Nedelsiant;EUR;STANDARD;01;201010102;4000151;2.2.1.1.1.20.2.;188710061;"Savivaldybės administracija";1041.62;500;541.62;;"Vilniaus Atgajos specialioji mokykla EUR"
2022;"Ignitis, UAB";303383884;;30-JUN-22;INI146556;30-JUN-22;30-JUN-22;Nedelsiant;EUR;STANDARD;01;201030105;4000115;2.2.1.1.1.20.2.;188710061;"Savivaldybės administracija";784.85;0;784.85;;"Vilniaus „Vyturio“ pradinė mokykla EUR"
2022;"Laukesta, UAB";305181027;;30-JUN-22;LAUK025051;30-JUN-22;30-JUN-22;Nedelsiant;EUR;STANDARD;64;201090201;4000146;2.2.1.1.1.1.;188710061;"Savivaldybės administracija";85.6;0;85.6;;"Vilniaus lopšelis-darželis Varpelis EUR"
2022;"Laukesta, UAB";305181027;;30-JUN-22;LAUK025102;30-JUN-22;30-JUN-22;Nedelsiant;EUR;STANDARD;64;201090201;4000146;2.2.1.1.1.1.;188710061;"Savivaldybės administracija";18.45;0;18.45;;"Vilniaus lopšelis-darželis Varpelis EUR"
2022;"LEMANDA UAB";121553699;;30-JUN-22;LEP3321;30-JUN-22;30-JUN-22;Nedelsiant;EUR;STANDARD;01;201010102;4000151;2.2.1.1.1.1.;188710061;"Savivaldybės administracija";195.6;0;195.6;;"Vilniaus Naujininkų mokykla EUR"
2022;"Tele2, UAB";111471645;;30-JUN-22;M17156917597;30-JUN-22;30-JUN-22;Nedelsiant;EUR;STANDARD;0278;201010102;4000183;2.2.1.1.1.5.;188710061;"Savivaldybės administracija";34.61;0;34.61;;"Vilniaus Atgajos specialioji mokykla EUR"
2022;"Tele2, UAB";111471645;;30-JUN-22;M17156923216;30-JUN-22;30-JUN-22;Nedelsiant;EUR;STANDARD;24;0000000000;0000000;2.2.1.1.1.5.;0000000;Nedetalizuojama;67.21;0;67.21;;"Vilniaus Karoliniškių gimnazija EUR"
2022;"Garliavos duona, UAB";159734013;;30-JUN-22;PNI0766316;30-JUN-22;30-JUN-22;Nedelsiant;EUR;STANDARD;64;201090201;4000146;2.2.1.1.1.1.;188710061;"Savivaldybės administracija";48.06;0;48.06;;"Vilniaus lopšelis-darželis Varpelis EUR"
