KODAS;PAVADINIMAS;GALIOJA;SUMINE;SUKURIMO_DATA;MODIFIKAVIMO_DATA
1000082;"Vilniaus apskrities priešgaisrinės gelbėjimo valdybos technikos eksploatavimo išlaidų padengimas ir prevencinio projekto „Saugokite namus nuo gaisrų“ įgyvendinimas (AD 2011-12-06 įsakymas Nr. 30-1745)";Y;N;15-DEC-11;15-DEC-11
1000083;"Viešosios tvarkos užtikrinimas  Vilniaus mieste (AD 2011-11-16 įsakymas Nr. 30-1636)";Y;N;17-NOV-11;17-NOV-11
1000084;"Elektroninio švietimo sistemos diegimas";Y;N;21-NOV-11;21-NOV-11
1000085;"Apdovanojimų įteikimo ceremonijos išlaidų apmokėjimas (AD 2011-12-20 įsakymas Nr. 30-1860)";Y;N;28-DEC-11;28-DEC-11
1000086;"Projekto „Gyvenkime saikingai ir atsakingai“ įgyvendinimas (AD 2011-12-20 įsakymas Nr. 30-1860)";Y;N;28-DEC-11;28-DEC-11
1000087;"Viešosios įstaigos „Žaliosios idėjos“ veiklos vykdymas (AD 2011-12-20 įsakymas Nr. 30-1860)";Y;N;28-DEC-11;28-DEC-11
1000088;"Projekto „EkoRaštis“  įgyvendinimas (AD 2011-12-21 įsakymas Nr. 30-1869)";Y;N;28-DEC-11;28-DEC-11
1000089;"Gyvybės draudimo, draudimo nuo nelaimingų atsitikimų ir sveikatos draudimo paslaugų pirkimas (AD 2011-12-28 įsakymas Nr. 30-1901)";Y;N;28-DEC-11;28-DEC-11
1000090;Nenaudojama;Y;N;20-NOV-07;19-FEB-16
1000091;"Vilniaus miesto jaunimo reikalų tarybos ir jos renginių, Lietuvos moksleivių parlamento veiklos finansavimas";Y;N;28-FEB-12;28-FEB-12
1000092;"Vilniaus miesto jaunimo organizacijų inkubatoriaus renginių, mokymų finansavimas";Y;N;28-FEB-12;28-FEB-12
1000093;"Informavimo programų finansavimas";Y;N;28-FEB-12;28-FEB-12
1000094;"Jaunimo politikos efektyvaus įgyvendinimo strategijos Vilniaus mieste parengimas";Y;N;28-FEB-12;28-FEB-12
1000095;"Projekto „Pasaulio lietuvių jaunimo susitikimas“  įgyvendinimas (AD 2012-04-20 įsakymas Nr. 30-750)";Y;N;04-MAY-12;04-MAY-12
1000096;"Socialinės reabilitacijos paslaugų neįgaliesiems bendruomenėje projektų administravimas";Y;N;21-JUN-12;21-JUN-12
1000097;"Jaunimo atvirų centrų steigimo ir veiklos finansavimas";Y;N;17-SEP-12;17-SEP-12
1000098;"Valstybės garantuojamos pirminės teisinės pagalbos teikimas";Y;N;30-JAN-13;20-FEB-17
1000099;"Valstybinės kalbos vartojimo ir taisyklingumo kontrolė";Y;N;01-DEC-15;20-FEB-17
1000100;Nenaudojama;Y;N;20-NOV-07;19-SEP-19
1000101;"Išmokų vaikams administravimas (Finansų ir ekonomikos skyrius, Apskaitos skyrius)";Y;N;27-JAN-14;19-SEP-19
1000102;"Vienkartinių kompensacijų asmenims, sužalotiems atliekant būtinąją karinę tarnybą sovietinėje armijoje, ir šioje armijoje žuvusiųjų šeimoms administravimas (Finansų ir strateginio planavimo departamentas)";Y;N;01-FEB-16;14-NOV-16
1000103;"Vienkartinių pašalpų ginkluoto pasipriešinimo (rezistencijos) dalyviams – kariams savanoriams, administravimas (Finansų ir strateginio planavimo departamentas)";Y;N;01-FEB-16;14-NOV-16
1000104;"Projekto „Neformaliojo vaikų švietimo paslaugų plėtra“ įgyvendinimas (ES paramos lėšos (dotacijos))";Y;N;09-NOV-16;09-NOV-16
