ORG_ID;PASKOLOS_DAVEJAS;SUTARTIES_NR;PASKOLOS_KLASIFIKACIJA;SKOLOS_TIPAS;VALIUTA;INVOICE_NUM;DOK_METAI;PERIODAS;DOK_DK_DATA;DOK_TYPE;INVOICE_TYPE;DOK_NR;APYVARTOS_TIPAS
119;"SEB bankas";0040512020516-05;S;PALUKANOS;LTL;SEB/516;2009;200903;31-MAR-09;Įsipareigojimas;Standard;SEB/516;Įsipareigojimas;29441.13
119;"SEB bankas";0020312020094/09;S;PALUKANOS;LTL;"SEB/09 pal.";2009;200903;31-MAR-09;Įsipareigojimas;Standard;"SEB/09 pal.";Įsipareigojimas;35481.84
119;"SEB bankas";0040512020517-05;S;PALUKANOS;LTL;SEB/517;2009;200903;31-MAR-09;Įsipareigojimas;Standard;SEB/517;Įsipareigojimas;25961.53
119;"SEB bankas";A64-40/001061201023-21;S;PALUKANOS;LTL;"SEB A64-40";2009;200903;31-MAR-09;Įsipareigojimas;Standard;"SEB A64-40";Įsipareigojimas;673529.13
119;"Nordea Bank AB Lietuvos skyrius";KS04/07/05;S;PASKOLA;LTL;KS04/07/05;2008;200812;31-DEC-08;Įsipareigojimas;Standard;KS04/07/05;Įsipareigojimas;19031362.09
114;"LR finansų ministerija";250;V;PALUKANOS;USD;6K-0901385;2009;200903;01-MAR-09;Įsipareigojimas;Standard;6K-0901385;Įsipareigojimas;34539.08
119;"SEB bankas";0040512020516-05;S;PASKOLA;LTL;"KS 20516-05";2008;200812;31-DEC-08;Įsipareigojimas;Standard;"KS 20516-05";Įsipareigojimas;15999998.6
119;"SEB bankas";0040512020517-05;S;PASKOLA;LTL;"KS 20517-05";2008;200812;31-DEC-08;Įsipareigojimas;Standard;"KS 20517-05";Įsipareigojimas;14045603.55
119;"SEB bankas";A64-19(3.4.-FN-1);S;PASKOLA;LTL;"SEB A64-19";2008;200812;31-DEC-08;Įsipareigojimas;Standard;"SEB A64-19";Įsipareigojimas;135072697.79
119;"SEB bankas";A64-34/0040712021596-21;S;PASKOLA;LTL;"KS A64-34";2008;200812;31-DEC-08;Įsipareigojimas;Standard;"KS A64-34";Įsipareigojimas;83477922.6
119;"Nordea Bank AB Lietuvos skyrius";KS02/07/03;S;PASKOLA;LTL;KS02/07/03;2008;200812;31-DEC-08;Įsipareigojimas;Standard;KS02/07/03;Įsipareigojimas;1678315.96
119;"Nordea Bank AB Lietuvos skyrius";KS02/07/02;S;PASKOLA;LTL;KS02/08/02;2008;200812;31-DEC-08;Įsipareigojimas;Standard;KS02/08/02;Įsipareigojimas;8888888.32
119;"LR finansų ministerija";235;V;PASKOLA;USD;"FINMIN 235";2008;200812;31-DEC-08;Įsipareigojimas;Standard;"FINMIN 235";Įsipareigojimas;449996.85
119;"LR finansų ministerija";18;S;PASKOLA;LTL;"FINMIN trumpalaike";2008;200812;31-DEC-08;Įsipareigojimas;Standard;"FINMIN trumpalaike";Įsipareigojimas;8863128
119;ERPB;22826;S;PASKOLA;EUR;ERPB;2008;200812;31-DEC-08;Įsipareigojimas;Standard;ERPB;Įsipareigojimas;4666666.6
119;"SEB bankas";0020312020094/09;S;PASKOLA;LTL;SEB/09;2008;200812;31-DEC-08;Įsipareigojimas;Standard;SEB/09;Įsipareigojimas;12880301.19
119;"SEB bankas";A64-40/001061201023-21;S;PASKOLA;LTL;"K/S A64-40";2008;200812;31-DEC-08;Įsipareigojimas;Standard;"K/S A64-40";Įsipareigojimas;55357185.19
112;"VMI prie LRFM";14-09-41;S;PALUKANOS;LTL;balandis-1;2009;200904;24-APR-09;Įsipareigojimas;Standard;balandis-1;Įsipareigojimas;782.64
119;"Nordea Bank AB Lietuvos skyrius";KS04/07/05;S;PALUKANOS;LTL;Nordea/05;2009;200904;29-APR-09;Įsipareigojimas;Standard;Nordea/05;Įsipareigojimas;32447.03
112;"VMI prie LRFM";14-09-41;S;PALUKANOS;LTL;gegu=4;2009;200905;04-MAY-09;Įsipareigojimas;Standard;gegu=4;Įsipareigojimas;784.6
119;ERPB;22826;S;PALUKANOS;EUR;22826/2;2009;200904;30-APR-09;Įsipareigojimas;Standard;22826/2;Įsipareigojimas;36582.78
119;"SEB bankas";0020312020094/09;S;PALUKANOS;LTL;"SEB09 palukanos/200904";2009;200904;30-APR-09;Įsipareigojimas;Standard;"SEB09 palukanos/200904";Įsipareigojimas;32620.85
119;"SEB bankas";0040512020517-05;S;PALUKANOS;LTL;"SEB/517 palukanos/200904";2009;200904;30-APR-09;Įsipareigojimas;Standard;"SEB/517 palukanos/200904";Įsipareigojimas;24813.93
119;"SEB bankas";0040512020516-05;S;PALUKANOS;LTL;"SEB/516 palukanos/200904";2009;200904;30-APR-09;Įsipareigojimas;Standard;"SEB/516 palukanos/200904";Įsipareigojimas;28139.66
119;"Nordea Bank AB Lietuvos skyrius";KS04/07/05;S;PALUKANOS;LTL;Nordea/05/6;2009;200905;31-MAY-09;Įsipareigojimas;Standard;Nordea/05/6;Įsipareigojimas;27530.8
112;"VMI prie LRFM";14-09-41;S;PALUKANOS;LTL;gegu=4-2;2009;200905;25-MAY-09;Įsipareigojimas;Standard;gegu=4-2;Įsipareigojimas;1323.97
119;"SEB bankas";0020312020094/09;S;PALUKANOS;LTL;SEB/09/5;2009;200905;29-MAY-09;Įsipareigojimas;Standard;SEB/09/5;Įsipareigojimas;32351.84
119;"SEB bankas";0040512020517-05;S;PALUKANOS;LTL;SEB/517/5;2009;200905;29-MAY-09;Įsipareigojimas;Standard;SEB/517/5;Įsipareigojimas;25000
119;"SEB bankas";0040512020516-05;S;PALUKANOS;LTL;SEB/516/5;2009;200905;29-MAY-09;Įsipareigojimas;Standard;SEB/516/5;Įsipareigojimas;28350.73
112;"UniCredit Bank AS LT";64;S;PALUKANOS;LTL;bir=elis;2009;200906;02-JUN-09;Įsipareigojimas;Standard;bir=elis;Įsipareigojimas;58519.07
112;"VMI prie LRFM";14-09-41;S;PALUKANOS;LTL;birželis;2009;200906;17-JUN-09;Įsipareigojimas;Standard;birželis;Įsipareigojimas;1303.13
119;"Nordea Bank AB Lietuvos skyrius";KS04/07/05;S;PALUKANOS;LTL;Nordea/05/06;2009;200907;01-JUL-09;Įsipareigojimas;Standard;Nordea/05/06;Įsipareigojimas;29497.31
119;"SEB bankas";A64-34/0040712021596-21;S;PALUKANOS;LTL;SEBA64-34/01;2009;200904;27-APR-09;Įsipareigojimas;Standard;SEBA64-34/01;Įsipareigojimas;2470366.81
119;"SEB bankas";A64-40/001061201023-21;S;PALUKANOS;LTL;"SEB A64-40/2";2009;200906;30-JUN-09;Įsipareigojimas;Standard;"SEB A64-40/2";Įsipareigojimas;328426.09
119;"SEB bankas";A67-51(3.4-FN1.);S;PALUKANOS;LTL;SEBA67-51;2009;200906;30-JUN-09;Įsipareigojimas;Standard;SEBA67-51;Įsipareigojimas;6973.26
119;"SEB bankas";0020312020094/09;S;PALUKANOS;LTL;SEB/09/06;2009;200906;30-JUN-09;Įsipareigojimas;Standard;SEB/09/06;Įsipareigojimas;27788.82
119;"SEB bankas";0040512020517-05;S;PALUKANOS;LTL;SEB/517/06;2009;200906;30-JUN-09;Įsipareigojimas;Standard;SEB/517/06;Įsipareigojimas;24193.56
119;"SEB bankas";0040512020516-05;S;PALUKANOS;LTL;SEB/516/6;2009;200906;30-JUN-09;Įsipareigojimas;Standard;SEB/516/6;Įsipareigojimas;27436.19
119;"SEB bankas";A67-51(3.4-FN1.);S;PASKOLA;LTL;A67-51;2009;200903;31-MAR-09;Įsipareigojimas;Standard;A67-51;Įsipareigojimas;11152000
119;"SEB bankas";A67-51(3.4-FN1.);S;PALUKANOS;LTL;palūkanos/A67-51/kovas;2009;200903;31-MAR-09;Įsipareigojimas;Standard;palūkanos/A67-51/kovas;Įsipareigojimas;427.49
119;"SEB bankas";A67-51(3.4-FN1.);S;PASKOLA;LTL;A67-51/3;2009;200906;30-JUN-09;Įsipareigojimas;Standard;A67-51/3;Įsipareigojimas;29600000
119;"SEB bankas";A67-51(3.4-FN1.);S;PASKOLA;LTL;A67-51/1;2009;200906;19-JUN-09;Įsipareigojimas;Standard;A67-51/1;Įsipareigojimas;4425000.03
119;"SEB bankas";A67-51(3.4-FN1.);S;PASKOLA;LTL;A67-51/2;2009;200906;19-JUN-09;Įsipareigojimas;Standard;A67-51/2;Įsipareigojimas;1453851.03
119;"SEB bankas";A67-51(3.4-FN1.);S;PALUKANOS;LTL;A67-51/palūkanos/liepa;2009;200907;08-JUL-09;Įsipareigojimas;Standard;A67-51/palūkanos/liepa;Įsipareigojimas;119.3
113;"Nordea finance Lithuania, UAB";20040205;V;PALUKANOS;LTL;NLF174846/1;2009;200906;04-JUN-09;Įsipareigojimas;Standard;NLF174846/1;Įsipareigojimas;3498.07
113;"Swedbank lizingas, UAB";LT026492;V;PALUKANOS;LTL;LS0002582871;2009;200906;18-JUN-09;Įsipareigojimas;Standard;LS0002582871;Įsipareigojimas;25791.34
113;"Swedbank lizingas, UAB";LT026493;V;PALUKANOS;LTL;LS0002582872;2009;200906;18-JUN-09;Įsipareigojimas;Standard;LS0002582872;Įsipareigojimas;8917.58
119;"Nordea Bank AB Lietuvos skyrius";KS02/07/03;S;PALUKANOS;LTL;KS02/07/03/2;2009;200907;17-JUL-09;Įsipareigojimas;Standard;KS02/07/03/2;Įsipareigojimas;14027.86
119;"SEB bankas";A64-19(3.4.-FN-1);S;PASKOLA;LTL;"KP SEB A64-19";2009;200901;07-JAN-09;Įsipareigojimas;"Credit Memo";"KP SEB A64-19";Įsipareigojimas;-385262.06
112;"VMI prie LRFM";14-09-41;S;PALUKANOS;LTL;liepa;2009;200907;27-JUL-09;Įsipareigojimas;Standard;liepa;Įsipareigojimas;1010.91
113;"Nordea finance Lithuania, UAB";20040205;V;LIZINGAS;LTL;SUT.20040205.;2008;200812;31-DEC-08;Įsipareigojimas;Standard;SUT.20040205.;Įsipareigojimas;1204461.37
113;"Swedbank lizingas, UAB";LT026492;V;LIZINGAS;LTL;SUT.LT026492.;2008;200812;31-DEC-08;Įsipareigojimas;Standard;SUT.LT026492.;Įsipareigojimas;4578376.46
113;"Swedbank lizingas, UAB";LT026493;V;LIZINGAS;LTL;SUT.LT026493.;2008;200812;31-DEC-08;Įsipareigojimas;Standard;SUT.LT026493.;Įsipareigojimas;1583013.99
119;"SEB bankas";0020312020094/09;S;PALUKANOS;LTL;SEB/09/07;2009;200907;31-JUL-09;Įsipareigojimas;Standard;SEB/09/07;Įsipareigojimas;15779.23
119;"SEB bankas";0040512020517-05;S;PALUKANOS;LTL;SEB/517/07;2009;200907;31-JUL-09;Įsipareigojimas;Standard;SEB/517/07;Įsipareigojimas;24658.79
119;"Nordea Bank AB Lietuvos skyrius";KS04/07/05;S;PALUKANOS;LTL;Nordea/05/08;2009;200908;03-AUG-09;Įsipareigojimas;Standard;Nordea/05/08;Įsipareigojimas;30972.17
119;"SEB bankas";A67-51(3.4-FN1.);S;PASKOLA;LTL;A67-51-K;2009;200903;31-MAR-09;Įsipareigojimas;"Credit Memo";A67-51-K;Įsipareigojimas;-8160000
119;"SEB bankas";A67-51(3.4-FN1.);S;PASKOLA;LTL;A67-51-K2;2009;200903;31-MAR-09;Įsipareigojimas;"Credit Memo";A67-51-K2;Įsipareigojimas;-2992000
119;"SEB bankas";0040512020516-05;S;PALUKANOS;LTL;SEB/516/07;2009;200907;31-JUL-09;Įsipareigojimas;Standard;SEB/516/07;Įsipareigojimas;27963.81
