DEPARTAMENTAS;SUTARTIES_TIPAS;SUTARTIES_NUMERIS;SUDARYMO_METAI;SUTARTIES_PRADZIOS_DATA;SUTARTIES_PABAIGOS_DATA;TIEKEJAS;TIEKEJO_KODAS;SUTARTIES_APRASAS;SUTARTIES_SUMA;SISTEMINIS_NUMERIS;
"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";"A15-1182/14(2.1.4-SR7)";"2014";"28-MAY-14";"27-MAY-16";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"253.14";"5841";
"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";"A15-1182/14(2.1.4-SR7)";"2014";"28-MAY-14";"27-MAY-16";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"164.25";"5842";
"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";"A15-1182/14(2.1.4-SR7)";"2014";"28-MAY-14";"27-MAY-16";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"19.59";"5844";
"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";"A15-1182/14(2.1.4-SR7)";"2014";"28-MAY-14";"27-MAY-16";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"2324.49";"5845";
"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";"A15-1182/14(2.1.4-SR7)";"2014";"28-MAY-14";"27-MAY-16";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"2823.8";"5846";
"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";"A64-75/14(3.10.22-AD4)";"2014";"11-JUN-14";"11-JUN-15";"UAB "Sostinės projektai"";"303060386";"Sutartis dėl patalpų ir pastatų bei jų daliųenergetinio naudingumo koeficiento";"";"5860";
"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";"A68-10/14(3.10.23-FN4)";"2014";"23-APR-14";"30-DEC-15";"Officeday, UAB";"124931353";"Biuro reikmenų sutartis";"28962";"5836";
"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";"A15-1439/14(2.1.4-SR7)";"2014";"03-JUL-14";"02-JUL-16";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"2103.22";"5922";
"Vilniaus miesto savivaldybės administracija";"Įsakymas dėl našlaičiams skiriamos pašalpos";"A15-1439/14(2.1.4-SR7)";"2014";"03-JUL-14";"02-JUL-16";"nuasmeninta";"nuasmeninta";"Įsakymas dėl našlaičiams skiriamos pašalpos";"10.6";"5923";
"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";"A68-17/14(3.10.23-AD4)";"2014";"04-JUN-14";"04-JUN-15";"Fleksneta, UAB";"300026578";"SSL sertifikatas";"928.67";"5996";
