BIUDZETAS;SEGMENT1;SEGMENT2;SEGMENT3;SEGMENT4;SEGMENT5;SEGMENT6;SEGMENT7;SEGMENT8;SEGMENT9;SEGMENT10;METINE_SUMA;I_KETV;II_KETV;III_KETV;IV_KETV
"2022 VMS IV K.";5077;0000000;01;0000000000;000000000000;1.1.4.7.1.1.;0000000;0000000;000000000;000000;2880000;1400000;1480000;0;0
"2022 VMS IV K.";5077;0000000;01;0000000000;000000000000;1.3.4.1.1.1.C.;0000000;0000000;000000000;000000;4453100;1114400;1114300;1114200;1110200
"2022 VMS IV K.";5077;0000000;01;0000000000;000000000000;1.1.1.1.1.1.1.;0000000;0000000;000000000;000000;457666000;82155000;139864000;111217000;124430000
"2022 VMS IV K.";188710061;0000000;01;202060206;06.01.01.01.;2.8.1.1.1.2.;6000715;21040;000000000;000000;9500;2500;2000;2500;2500
"2022 VMS IV K.";193539929;0000000;20;204040102;08.02.01.06.;2.2.1.1.1.30.L.;4000679;21000;000000000;000000;45000;8000;6000;6000;25000
"2022 VMS IV K.";188710061;0000000;07;207040108;05.03.01.01.;2.2.1.1.1.12.;3000512;21020;000000000;000000;353800;;133800;156200;63800
"2022 VMS IV K.";190997565;0000000;01;202020202;10.02.01.40.;2.7.3.1.1.1.;6000460;21040;000000000;000000;40000;10000;10000;10000;10000
"2022 VMS IV K.";188710061;0000000;01;207110107;06.02.01.01.;2.2.1.1.1.12.;9000062;188710061;000000000;000000;20800;;;;20800
"2022 VMS IV K.";300132332;0000000;01;204020101;08.02.01.02.;2.2.1.1.1.20.3.;4000551;21000;000000000;000000;400;100;100;100;100
"2022 VMS IV K.";188710061;0000000;0233;202010101;10.03.01.01.;2.7.2.1.1.1.F.;6000100;90100;000000000;000000;2395000;681300;588200;721100;404400
"2022 VMS IV K.";288211390;0000000;01;204050101;08.02.01.06.;2.2.1.1.1.30.L.;4000543;21000;000000000;000000;3000;;3000;0;0
"2022 VMS IV K.";300620381;0000000;01;204010101;08.02.01.01.;2.2.1.1.1.21.;4000521;21000;000000000;000000;15000;4000;4000;4000;3000
"2022 VMS IV K.";302448350;0000000;20;204030103;08.02.01.08.;2.1.2.1.1.1.;4000579;21000;000000000;000000;100;;;;100
"2022 VMS IV K.";302448350;0000000;01;204060101;08.02.01.06.;2.2.1.1.1.30.L.;4000640;21000;000000000;000000;32700;;4700;28000;0
"2022 VMS IV K.";188210145;0000000;01;204030101;08.02.01.08.;2.2.1.1.1.30.L.;4000584;21000;000000000;000000;21300;5200;5900;5100;5100
"2022 VMS IV K.";190997750;0000000;01;202020201;10.02.01.02.;2.2.1.1.1.5.;6000420;21040;000000000;000000;400;200;100;100;0
"2022 VMS IV K.";303305444;0000000;01;203020101;09.05.01.01.;2.2.1.1.1.14.;4000501;21050;000000000;000000;18800;5000;13800;0;0
"2022 VMS IV K.";188710061;0000000;01;208020103;10.09.01.01.;2.2.1.1.1.30.K.;1000078;188710061;000000000;000000;100100;25100;33900;23200;17900
"2022 VMS IV K.";188710061;0000000;01;202010101;10.06.01.01.;2.7.2.1.1.1.B.;6000154;90100;000000000;000000;4679800;1900000;2800000;-20200;0
"2022 VMS IV K.";188710061;0000000;01;208020103;10.09.01.01.;2.2.1.1.1.20.3.;1000078;188710061;000000000;000000;800;200;200;200;200
"2022 VMS IV K.";190027941;0000000;01;202020106;10.01.02.02.;2.2.1.1.1.5.;6000094;21040;000000000;000000;400;300;300;0;-200
"2022 VMS IV K.";190010479;0000000;01;203020101;09.05.01.01.;2.7.3.1.1.1.;4000501;21050;000000000;000000;300;;300;0;0
"2022 VMS IV K.";190978821;0000000;01;202020305;10.04.01.01.;2.1.2.1.1.1.;6000510;21040;000000000;000000;14400;3500;4700;4000;2200
"2022 VMS IV K.";188710061;0000000;61;207060111;06.02.01.01.;2.2.1.1.1.12.;3000655;20960;000000000;000000;3082400;1082400;2000000;0;0
"2022 VMS IV K.";191738761;0000000;20;202020501;10.01.02.02.;2.2.1.1.1.30.K.;6000560;21040;000000000;000000;52100;10000;12000;26000;4100
"2022 VMS IV K.";188710061;0000000;01;204040114;08.02.01.06.;2.8.1.1.1.2.;4000697;21000;000000000;000000;9000;2300;2300;2200;2200
"2022 VMS IV K.";188710061;0000000;11;202060104;06.01.01.01.;2.8.1.1.1.2.;6000752;21040;000000000;000000;37000;11000;4000;10000;12000
"2022 VMS IV K.";188710061;0000000;2M24;20502030301;04.05.01.02.;3.1.1.2.1.3.;3001417;20960;000000000;000000;13050000;;;7050000;6000000
"2022 VMS IV K.";188210145;0000000;01;204030101;08.02.01.08.;2.2.1.1.1.16.;4000584;21000;000000000;000000;700;200;0;0;500
"2022 VMS IV K.";188710061;0000000;01;20710011301;06.02.01.01.;3.1.1.2.1.3.;3001565;20960;000000000;000000;56100;109000;0;-87000;34100
"2022 VMS IV K.";188710061;0000000;0233;208020103;10.09.01.01.;2.1.2.1.1.1.;1000049;188710061;000000000;000000;900;200;200;300;200
"2022 VMS IV K.";301850606;0000000;01;203010302;07.06.01.02.;2.1.2.1.1.1.;6000795;21060;000000000;000000;13200;3300;3300;3300;3300
"2022 VMS IV K.";188710061;0000000;2M14;208020112;01.06.01.02.;2.2.1.1.1.5.;1000007;188710061;000000000;000000;4000;1000;1000;1000;1000
"2022 VMS IV K.";301850606;0000000;01;203010302;07.06.01.02.;2.2.1.1.1.6.;6000795;21060;000000000;000000;500;200;100;100;100
"2022 VMS IV K.";188710061;0000000;2M08;208020108;02.02.01.01.;2.7.3.1.1.1.;1000028;188710061;000000000;000000;300;;;200;100
"2022 VMS IV K.";190998090;0000000;20;202020501;10.01.02.02.;2.2.1.1.1.5.;6000570;21040;000000000;000000;1500;1000;1500;-1500;500
"2022 VMS IV K.";190998090;0000000;20;202020501;10.01.02.02.;2.2.1.1.1.20.1.;6000570;21040;000000000;000000;32000;25000;0;0;7000
"2022 VMS IV K.";188710061;0000000;01;204090110;08.02.01.06.;2.2.1.1.1.30.O.;9000091;188710061;000000000;000000;2900;;;1000;1900
"2022 VMS IV K.";188209748;0000000;01;204030101;08.02.01.08.;2.2.1.1.1.15.;4000581;21000;000000000;000000;1700;3000;1000;900;-3200
"2022 VMS IV K.";188710061;0000000;01;204040107;08.02.01.06.;2.8.1.1.1.2.;4000687;21000;000000000;000000;90000;17500;27500;17500;27500
"2022 VMS IV K.";190978821;0000000;01;202020305;10.04.01.01.;2.2.1.1.1.20.4.;6000510;21040;000000000;000000;4700;2800;1400;500;0
"2022 VMS IV K.";188710061;0000000;01;207020101;06.02.01.01.;2.8.1.1.1.2.;2000031;20870;000000000;000000;840000;210000;210000;320000;100000
"2022 VMS IV K.";190988178;0000000;01;202020304;10.04.01.01.;2.2.1.1.1.2.;6000500;21040;000000000;000000;400;100;100;100;100
"2022 VMS IV K.";188710061;0000000;2M10;208020109;04.02.01.04.;2.1.1.1.1.1.;1000025;188710061;000000000;000000;30600;6900;6400;8600;8700
"2022 VMS IV K.";188208831;0000000;01;204030101;08.02.01.08.;2.2.1.1.1.5.;4000585;21000;000000000;000000;3200;800;800;800;800
"2022 VMS IV K.";188710061;0000000;01;203030101;08.01.01.03.;2.8.1.1.1.2.;4000486;21050;000000000;000000;722600;810000;-87400;0;0
"2022 VMS IV K.";190997946;0000000;01;202020101;10.01.02.02.;2.2.1.1.1.21.;6000390;21040;000000000;000000;1500;400;400;300;400
"2022 VMS IV K.";188710061;0000000;01;204040118;08.02.01.06.;2.8.1.1.1.2.;4000618;21000;000000000;000000;145000;36300;36300;36200;36200
"2022 VMS IV K.";191738761;0000000;20;202020501;10.01.02.02.;2.2.1.1.1.20.4.;6000560;21040;000000000;000000;3000;700;800;700;800
"2022 VMS IV K.";190997750;0000000;0266;202020201;10.01.02.02.;2.2.1.1.1.20.3.;6000090;21040;000000000;000000;100;0;0;100;0
"2022 VMS IV K.";190997565;0000000;20;202020501;10.09.01.01.;2.2.1.1.1.20.3.;6000610;21040;000000000;000000;1400;300;400;400;300
"2022 VMS IV K.";188710061;0000000;2M01;208020101;01.06.01.02.;2.7.3.1.1.1.;1000004;188710061;000000000;000000;900;200;200;300;200
"2022 VMS IV K.";191645111;0000000;01;202020107;10.01.02.02.;2.2.1.1.1.15.;6000557;21040;000000000;000000;8000;3500;2000;2000;500
"2022 VMS IV K.";300132332;0000000;01;204020101;08.02.01.02.;2.2.1.1.1.30.L.;4000551;21000;000000000;000000;29800;7800;7000;9700;5300
"2022 VMS IV K.";300110631;0000000;01;204030101;08.02.01.08.;2.2.1.1.1.20.2.;4000581;21000;000000000;000000;12100;2600;2000;3500;4000
"2022 VMS IV K.";300132332;0000000;01;204020101;08.02.01.02.;2.2.1.1.1.20.1.;4000551;21000;000000000;000000;12000;4200;2000;800;5000
"2022 VMS IV K.";188710061;0000000;2M05;208020104;01.06.01.02.;2.1.1.1.1.1.;1000008;188710061;000000000;000000;26200;6600;6500;6600;6500
"2022 VMS IV K.";301850606;0000000;3M01;203010302;07.06.01.02.;3.1.1.5.1.1.;6000567;21060;000000000;000000;17700;3700;0;0;14000
"2022 VMS IV K.";190998090;0000000;0266;202020103;10.01.02.02.;2.2.1.1.1.1.;6000080;21040;000000000;000000;14000;2000;4000;4000;4000
"2022 VMS IV K.";188710061;0000000;01;203010402;07.06.01.02.;2.8.1.1.1.2.;6000820;21060;000000000;000000;1722000;220700;626900;400000;474400
"2022 VMS IV K.";190987980;0000000;01;202020303;10.04.01.01.;2.2.1.1.1.20.1.;6000480;21040;000000000;000000;20600;3000;13600;2000;2000
"2022 VMS IV K.";190997565;0000000;20;202020501;10.09.01.01.;2.2.1.1.1.5.;6000610;21040;000000000;000000;43100;23100;6600;6700;6700
"2022 VMS IV K.";190010479;0000000;01;203020101;09.05.01.01.;2.2.1.1.1.20.1.;4000501;21050;000000000;000000;3800;3800;0;0;0
"2022 VMS IV K.";188710061;0000000;01;208020103;10.09.01.01.;2.1.2.1.1.1.;1000078;188710061;000000000;000000;25900;6500;7900;5000;6500
"2022 VMS IV K.";190988178;0000000;0275;202020304;10.04.01.01.;2.2.1.1.1.30.K.;6000143;21040;000000000;000000;5500;1400;1400;1400;1300
"2022 VMS IV K.";190027941;0000000;0266;202020106;10.01.02.02.;2.7.3.1.1.1.;6000095;21040;000000000;000000;3400;400;500;500;2000
"2022 VMS IV K.";188710061;0000000;01;202030101;10.09.01.01.;2.8.1.1.1.2.;6000650;21040;000000000;000000;150100;35900;42400;35900;35900
"2022 VMS IV K.";190997565;0000000;20;202020501;10.09.01.01.;2.2.1.1.1.16.;6000610;21040;000000000;000000;4000;1000;1000;1000;1000
"2022 VMS IV K.";188710061;0000000;11;208020103;10.01.02.40.;2.2.1.1.1.5.;1000100;188710061;000000000;000000;100;100;0;0;0
"2022 VMS IV K.";191663668;0000000;01;201100104;09.05.01.01.;2.1.1.1.1.1.;4040004;20970;000000000;000000;65800;16500;16500;16700;16100
"2022 VMS IV K.";191664193;0000000;01;201100104;09.05.01.01.;2.2.1.1.1.20.4.;4040004;20970;000000000;000000;500;400;500;-400;0
"2022 VMS IV K.";188710061;0000000;01;208070201;01.03.03.01.;2.2.1.1.1.17.;1500022;21130;000000000;000000;16900;;;6200;10700
"2022 VMS IV K.";191664421;0000000;01;201100104;09.05.01.01.;2.2.1.1.1.20.3.;4040004;20970;000000000;000000;600;100;300;100;100
"2022 VMS IV K.";190011385;0000000;01;201100104;09.05.01.01.;2.2.1.1.1.30.L.;4040004;20970;000000000;000000;18000;;900;21800;-4700
"2022 VMS IV K.";191664193;0000000;20;201100106;09.05.01.01.;2.2.1.1.1.7.;4040020;20970;000000000;000000;1000;;800;0;200
"2022 VMS IV K.";191664389;0000000;20;201100106;09.05.01.01.;3.1.1.3.1.4.;4040020;20970;000000000;000000;1500;600;500;400;0
"2022 VMS IV K.";190011232;0000000;20;201100106;09.05.01.01.;2.2.1.1.1.7.;4040020;20970;000000000;000000;2300;600;0;100;1600
"2022 VMS IV K.";191844444;0000000;20;201100106;09.05.01.01.;2.2.1.1.1.30.L.;4040020;20970;000000000;000000;1000;1000;500;0;-500
"2022 VMS IV K.";190011385;0000000;20;201100106;09.05.01.01.;2.2.1.1.1.2.;4040020;20970;000000000;000000;200;100;100;0;0
"2022 VMS IV K.";190997565;0000000;69;202020401;10.09.01.01.;2.2.1.1.1.22.;6000563;21040;000000000;000000;2800;;2800;0;0
"2022 VMS IV K.";191645111;0000000;20;202020501;10.01.02.02.;2.2.1.1.1.17.;6000562;21040;000000000;000000;4000;1500;1500;500;500
"2022 VMS IV K.";190011385;0000000;64;201100106;09.05.01.01.;2.2.1.1.1.21.;4040041;20970;000000000;000000;200;200;0;0;0
"2022 VMS IV K.";190001462;0000000;01;202040101;09.06.01.01.;2.7.2.1.1.1.F.;4000400;21070;000000000;0000000;830;200;230;100;300
"2022 VMS IV K.";300542858;0000000;01;202040101;09.06.01.01.;2.7.2.1.1.1.F.;4000400;21070;000000000;0000000;600;200;300;100;0
"2022 VMS IV K.";188710061;0000000;01;207060106;06.02.01.01.;3.1.2.1.1.5.;3000790;21020;000000000;000000;7200;;;7200;0
"2022 VMS IV K.";190007344;0000000;01;202040204;10.04.01.40.;2.8.1.1.1.2.;4000431;21070;000000000;0000000;7700;1700;2500;600;2900
"2022 VMS IV K.";190981194;0000000;01;202040204;10.04.01.40.;2.8.1.1.1.2.;4000431;21070;000000000;0000000;1800;400;600;100;700
"2022 VMS IV K.";188710061;0000000;01;202040204;10.04.01.40.;2.8.1.1.1.2.;4000431;21070;000000000;0000000;73100;500;-500;30200;42900
"2022 VMS IV K.";190000894;0000000;01;202040204;10.04.01.40.;2.8.1.1.1.2.;4000430;21070;000000000;0000000;8300;1500;3000;600;3200
"2022 VMS IV K.";190005336;0000000;01;202040204;10.04.01.40.;2.8.1.1.1.2.;4000430;21070;000000000;0000000;7000;1300;2300;600;2800
"2022 VMS IV K.";195474280;0000000;01;202040204;10.04.01.40.;2.8.1.1.1.2.;4000430;21070;000000000;0000000;8600;1600;3000;500;3500
"2022 VMS IV K.";190034188;0000000;01;202020104;10.01.02.02.;2.1.1.1.1.1.;6000088;21040;000000000;000000;54800;1700;2700;49400;1000
"2022 VMS IV K.";191738761;0000000;01;202020102;10.01.02.02.;2.2.1.1.1.20.1.;6000400;21040;000000000;000000;17400;;15400;2000;0
"2022 VMS IV K.";300035837;0000000;0265;202040203;10.04.01.40.;2.1.1.1.1.1.;4000412;21070;000000000;0000000;41000;10300;10800;9900;10000
"2022 VMS IV K.";190030161;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.21.;4000146;21070;000000000;0000000;2000;1000;1000;0;0
"2022 VMS IV K.";190030019;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.30.L.;4000146;21070;000000000;0000000;26885;10000;10000;10000;-3115
"2022 VMS IV K.";190022823;0000000;20;201090201;09.01.01.01.;3.1.1.3.1.2.;4000071;21070;000000000;0000000;11400;3000;0;2000;6400
"2022 VMS IV K.";190022823;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.30.L.;4000071;21070;000000000;0000000;15000;5000;10000;10000;-10000
"2022 VMS IV K.";190030161;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.1.;4000071;21070;000000000;0000000;65500;15000;14000;25500;11000
"2022 VMS IV K.";190030542;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.15.;4000071;21070;000000000;0000000;11000;4000;4000;0;3000
"2022 VMS IV K.";190033467;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.30.L.;4000071;21070;000000000;0000000;37800;15000;6000;6000;10800
"2022 VMS IV K.";190648058;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.15.;4000071;21070;000000000;0000000;22000;10000;10000;2000;0
"2022 VMS IV K.";190648396;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.15.;4000071;21070;000000000;0000000;5000;;5000;0;0
"2022 VMS IV K.";304221230;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.21.;4000071;21070;000000000;0000000;2000;500;500;1000;0
"2022 VMS IV K.";188210145;0000000;01;204030101;08.02.01.08.;3.1.1.5.1.1.;4000584;21000;000000000;000000;3000;;1000;1000;1000
"2022 VMS IV K.";188710061;0000000;0233;208020103;10.09.01.01.;3.1.1.3.1.4.;1000049;188710061;000000000;000000;1300;;1300;0;0
"2022 VMS IV K.";188710061;0000000;0266;208020114;10.01.02.02.;2.2.1.1.1.11.;1000053;188710061;000000000;000000;100;;;;100
"2022 VMS IV K.";188710061;0000000;01;204040121;08.02.01.06.;2.8.1.1.1.2.;4000730;21000;000000000;000000;35000;8700;8800;8800;8700
"2022 VMS IV K.";188710061;0000000;01;202030101;10.04.01.01.;2.8.1.1.1.2.;6000672;90100;000000000;000000;1180000;220000;290000;370000;300000
"2022 VMS IV K.";190025552;0000000;65;201090103;09.08.01.01.;2.2.1.1.1.30.L.;4000222;21070;000000000;0000000;65;65;0;0;0
"2022 VMS IV K.";190023697;0000000;65;201090103;09.08.01.01.;2.2.1.1.1.15.;4000222;21070;000000000;0000000;1076;1076;0;0;0
"2022 VMS IV K.";302589995;0000000;65;201090103;09.08.01.01.;2.2.1.1.1.30.L.;4000222;21070;000000000;0000000;3349;3349;0;0;0
"2022 VMS IV K.";190006057;0000000;65;201090103;09.08.01.01.;2.2.1.1.1.30.L.;4000222;21070;000000000;0000000;3000;3000;0;0;0
"2022 VMS IV K.";302420714;0000000;65;201090103;09.08.01.01.;2.2.1.1.1.15.;4000222;21070;000000000;0000000;3000;3000;0;0;0
"2022 VMS IV K.";302420714;0000000;65;201090103;09.08.01.01.;2.2.1.1.1.21.;4000222;21070;000000000;0000000;1660;1660;0;0;0
"2022 VMS IV K.";191317260;0000000;65;201090103;09.08.01.01.;2.2.1.1.1.30.L.;4000222;21070;000000000;0000000;2378;2378;0;0;0
"2022 VMS IV K.";195003862;0000000;65;201090103;09.08.01.01.;2.2.1.1.1.7.;4000222;21070;000000000;0000000;1500;1500;0;0;0
"2022 VMS IV K.";190032931;0000000;65;201090103;09.08.01.01.;2.2.1.1.1.30.L.;4000222;21070;000000000;0000000;461;461;0;0;0
"2022 VMS IV K.";190017833;0000000;65;201090103;09.08.01.01.;2.2.1.1.1.30.L.;4000222;21070;000000000;0000000;29;29;0;0;0
"2022 VMS IV K.";190000894;0000000;65;201090103;09.08.01.01.;2.2.1.1.1.30.L.;4000222;21070;000000000;0000000;18691;18691;0;0;0
"2022 VMS IV K.";191665480;0000000;65;201090103;09.08.01.01.;2.2.1.1.1.30.L.;4000222;21070;000000000;0000000;203;207;0;0;-4
"2022 VMS IV K.";190027037;0000000;65;201090103;09.08.01.01.;2.2.1.1.1.30.L.;4000222;21070;000000000;0000000;139;139;0;0;0
"2022 VMS IV K.";290026840;0000000;65;201090103;09.08.01.01.;2.2.1.1.1.30.L.;4000222;21070;000000000;0000000;726;726;0;0;0
"2022 VMS IV K.";190006395;0000000;65;201090103;09.08.01.01.;2.2.1.1.1.5.;4000222;21070;000000000;0000000;100;100;0;0;0
"2022 VMS IV K.";188710061;0000000;3M01;20710011401;06.02.01.01.;3.1.1.2.1.3.;3001602;20960;000000000;000000;686500;348500;338000;0;0
"2022 VMS IV K.";190018892;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.2.;4000145;21070;000000000;0000000;800;800;0;0;0
"2022 VMS IV K.";304111905;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.7.;4000145;21070;000000000;0000000;2200;2200;0;0;0
"2022 VMS IV K.";304028651;0000000;64;201090201;09.08.01.01.;3.1.1.3.1.2.;4000145;21070;000000000;0000000;2000;10000;0;-10000;2000
"2022 VMS IV K.";290031830;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.2.;4000145;21070;000000000;0000000;300;300;0;0;0
"2022 VMS IV K.";190030880;0000000;64;201090201;09.08.01.01.;3.1.1.3.1.2.;4000145;21070;000000000;0000000;5400;2000;0;3400;0
"2022 VMS IV K.";190014723;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.30.L.;4000145;21070;000000000;0000000;9900;;5000;4900;0
"2022 VMS IV K.";191662413;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.30.L.;4000145;21070;000000000;0000000;208071;354071;-100000;-40000;-6000
"2022 VMS IV K.";190020587;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.15.;4000145;21070;000000000;0000000;19500;4500;0;15000;0
"2022 VMS IV K.";290028510;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.30.L.;4000145;21070;000000000;0000000;7122;7022;0;0;100
"2022 VMS IV K.";290029950;0000000;64;201090201;09.08.01.01.;3.1.1.3.1.2.;4000145;21070;000000000;0000000;3700;6000;-2000;-300;0
"2022 VMS IV K.";190019841;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.1.;4000145;21070;000000000;0000000;6821;7635;0;0;-814
"2022 VMS IV K.";190017833;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.1.;4000145;21070;000000000;0000000;7889;16357;0;0;-8468
"2022 VMS IV K.";190011613;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.1.;4000145;21070;000000000;0000000;33169;33169;0;0;0
"2022 VMS IV K.";190018173;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.1.;4000145;21070;000000000;0000000;14303;14303;0;0;0
"2022 VMS IV K.";190020815;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.1.;4000145;21070;000000000;0000000;33861;33861;0;0;0
"2022 VMS IV K.";190031459;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.1.;4000145;21070;000000000;0000000;49981;69481;0;-19500;0
"2022 VMS IV K.";291326310;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.1.;4000145;21070;000000000;0000000;11092;11092;0;0;0
"2022 VMS IV K.";304111905;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.1.;4000145;21070;000000000;0000000;1442;1442;0;0;0
"2022 VMS IV K.";190021917;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.1.;4000145;21070;000000000;0000000;26208;26208;0;0;0
"2022 VMS IV K.";190005336;0000000;64;201090201;09.08.01.01.;2.2.1.1.1.1.;4000145;21070;000000000;0000000;6903;6903;0;0;0
"2022 VMS IV K.";190001081;0000000;64;201090202;09.08.01.01.;2.2.1.1.1.15.;4000238;21070;000000000;0000000;6;6;0;0;0
"2022 VMS IV K.";291710460;0000000;64;201090202;09.08.01.01.;2.1.2.1.1.1.;4000238;21070;000000000;0000000;200;200;0;0;0
"2022 VMS IV K.";190026120;0000000;25;201090101;09.01.01.01.;2.2.1.1.1.16.;4000060;21070;000000000;0000000;200;200;0;0;0
"2022 VMS IV K.";190023882;0000000;25;201090101;09.01.01.01.;2.2.1.1.1.30.L.;4000060;21070;000000000;0000000;400;300;300;0;-200
"2022 VMS IV K.";190013817;0000000;25;201090101;09.01.01.01.;2.2.1.1.1.30.L.;4000060;21070;000000000;0000000;700;;;;700
"2022 VMS IV K.";190007682;0000000;25;201090103;09.02.02.01.;2.2.1.1.1.15.;4000220;21070;000000000;0000000;300;200;100;0;0
"2022 VMS IV K.";190000175;0000000;25;201090103;09.02.02.01.;2.2.1.1.1.21.;4000220;21070;000000000;0000000;1500;;500;500;500
"2022 VMS IV K.";190004387;0000000;25;201090103;09.02.02.01.;2.2.1.1.1.30.L.;4000220;21070;000000000;0000000;1400;700;700;0;0
"2022 VMS IV K.";191722390;0000000;25;201090103;09.02.02.01.;2.2.1.1.1.30.L.;4000220;21070;000000000;0000000;1000;400;400;300;-100
"2022 VMS IV K.";190001843;0000000;25;201090103;09.02.02.01.;3.1.1.3.1.2.;4000220;21070;000000000;0000000;5000;3000;2000;0;0
"2022 VMS IV K.";300134269;0000000;25;201090103;09.02.02.01.;3.1.1.3.1.2.;4000220;21070;000000000;0000000;2000;;;;2000
"2022 VMS IV K.";190015978;0000000;20;201090201;09.01.01.01.;3.1.1.2.1.3.;4000070;21070;000000000;0000000;16000;4000;4000;4000;4000
"2022 VMS IV K.";190021917;0000000;20;201090201;09.01.01.01.;3.1.2.1.1.2.;4000070;21070;000000000;0000000;100;;;100;0
"2022 VMS IV K.";190023882;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.30.L.;4000070;21070;000000000;0000000;26300;17800;17700;-9200;0
"2022 VMS IV K.";190023882;0000000;20;201090201;09.01.01.01.;3.1.1.3.1.2.;4000070;21070;000000000;0000000;2000;;1000;1000;0
"2022 VMS IV K.";190031459;0000000;20;201090201;09.01.01.01.;3.1.1.3.1.2.;4000070;21070;000000000;0000000;3000;500;1000;1000;500
"2022 VMS IV K.";190018892;0000000;20;201090201;09.01.01.01.;3.1.1.3.1.2.;4000070;21070;000000000;0000000;2000;500;500;500;500
"2022 VMS IV K.";190023359;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.2.;4000070;21070;000000000;0000000;600;200;200;200;0
"2022 VMS IV K.";190025552;0000000;20;201090201;09.01.01.01.;3.1.1.3.1.2.;4000070;21070;000000000;0000000;1200;;;;1200
"2022 VMS IV K.";190012334;0000000;20;201090201;09.01.01.01.;3.1.1.3.1.2.;4000070;21070;000000000;0000000;5000;3000;2000;0;0
"2022 VMS IV K.";190020249;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.15.;4000070;21070;000000000;0000000;2000;1000;800;200;0
"2022 VMS IV K.";190028096;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.21.;4000070;21070;000000000;0000000;3200;200;800;2000;200
"2022 VMS IV K.";190012868;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.30.L.;4000070;21070;000000000;0000000;39800;10000;10000;9800;10000
"2022 VMS IV K.";190016012;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.7.;4000070;21070;000000000;0000000;1000;2000;0;1000;-2000
"2022 VMS IV K.";190014723;0000000;20;201090201;09.01.01.01.;3.1.1.3.1.2.;4000070;21070;000000000;0000000;2900;900;1000;1000;0
"2022 VMS IV K.";190023544;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.21.;4000070;21070;000000000;0000000;600;200;200;200;0
"2022 VMS IV K.";190023544;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.15.;4000070;21070;000000000;0000000;20000;;10000;10000;0
"2022 VMS IV K.";190019841;0000000;20;201090201;09.01.01.01.;3.1.1.3.1.2.;4000070;21070;000000000;0000000;6000;1000;5000;0;0
"2022 VMS IV K.";190019841;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.15.;4000070;21070;000000000;0000000;4600;2000;0;2600;0
"2022 VMS IV K.";190020815;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.2.;4000070;21070;000000000;0000000;200;200;0;0;0
"2022 VMS IV K.";190013436;0000000;20;201090201;09.01.01.01.;3.1.1.3.1.2.;4000070;21070;000000000;0000000;2000;;;2000;0
"2022 VMS IV K.";190023010;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.15.;4000070;21070;000000000;0000000;19000;;;18600;400
"2022 VMS IV K.";190017833;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.21.;4000070;21070;000000000;0000000;2300;600;400;1300;0
"2022 VMS IV K.";190029045;0000000;20;201090201;09.01.01.01.;3.1.1.3.1.2.;4000070;21070;000000000;0000000;11300;3000;2300;3000;3000
"2022 VMS IV K.";190031982;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.21.;4000070;21070;000000000;0000000;6500;2000;0;4500;0
"2022 VMS IV K.";290031830;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.15.;4000070;21070;000000000;0000000;15000;5000;5000;5000;0
"2022 VMS IV K.";190017452;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.30.L.;4000070;21070;000000000;0000000;13200;5000;5400;2800;0
