BIUDZETAS;SEGMENT1;SEGMENT2;SEGMENT3;SEGMENT4;SEGMENT5;SEGMENT6;SEGMENT7;SEGMENT8;SEGMENT9;SEGMENT10;METINE_SUMA;I_KETV;II_KETV;III_KETV;IV_KETV
"2022 VMS IV K.";190016927;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.5.;4000070;21070;000000000;0000000;200;100;0;100;0
"2022 VMS IV K.";190028324;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.15.;4000070;21070;000000000;0000000;20000;5000;5000;5000;5000
"2022 VMS IV K.";190014157;0000000;20;201090201;09.01.01.01.;2.2.1.1.1.15.;4000070;21070;000000000;0000000;15000;;15000;0;0
"2022 VMS IV K.";190032365;0000000;20;201090201;09.01.02.01.;2.2.1.1.1.1.;4000140;21070;000000000;0000000;56000;13800;13800;13800;14600
"2022 VMS IV K.";190026654;0000000;20;201090201;09.01.02.01.;2.2.1.1.1.7.;4000140;21070;000000000;0000000;2700;300;1200;1200;0
"2022 VMS IV K.";191818093;0000000;20;201090201;09.05.01.01.;3.1.2.1.1.2.;4000280;21070;000000000;0000000;800;;800;0;0
"2022 VMS IV K.";191662185;0000000;20;201090201;09.05.01.01.;2.2.1.1.1.30.L.;4000280;21070;000000000;0000000;94700;40500;49000;10300;-5100
"2022 VMS IV K.";191662566;0000000;20;201090201;09.05.01.01.;2.2.1.1.1.7.;4000280;21070;000000000;0000000;1000;500;500;0;0
"2022 VMS IV K.";191663091;0000000;20;201090201;09.05.01.01.;3.1.1.3.1.2.;4000280;21070;000000000;0000000;30000;;10000;10000;10000
"2022 VMS IV K.";191662370;0000000;20;201090201;09.05.01.01.;2.2.1.1.1.7.;4000280;21070;000000000;0000000;1000;500;500;0;0
"2022 VMS IV K.";191722433;0000000;20;201090201;09.02.01.01.;2.2.1.1.1.30.L.;4000278;21070;000000000;0000000;500;200;300;0;0
"2022 VMS IV K.";190007878;0000000;20;201090201;09.02.02.01.;2.2.1.1.1.7.;4000229;21070;000000000;0000000;300;100;200;0;0
"2022 VMS IV K.";191317260;0000000;20;201090201;09.02.02.01.;2.2.1.1.1.1.;4000229;21070;000000000;0000000;18800;4600;4600;4600;5000
"2022 VMS IV K.";191662751;0000000;20;201090202;09.05.01.01.;2.2.1.1.1.30.L.;4000290;21070;000000000;0000000;4000;1500;2000;500;0
"2022 VMS IV K.";191662228;0000000;20;201090202;09.05.01.01.;2.2.1.1.1.30.L.;4000290;21070;000000000;0000000;11800;3000;3000;3000;2800
"2022 VMS IV K.";5077;0000000;01;208050103;01.06.01.02.;2.3.1.2.1.3.;1100006;188710061;000000000;000000;350000;160000;130000;35000;25000
"2022 VMS IV K.";300134269;0000000;01;201010102;09.02.02.01.;2.2.1.1.1.5.;4000152;21070;000000000;0000000;700;200;200;0;300
"2022 VMS IV K.";190648058;0000000;01;201030102;09.01.01.01.;2.2.1.1.1.2.;4000011;21070;000000000;0000000;600;300;300;0;0
"2022 VMS IV K.";190015782;0000000;01;201030102;09.01.01.01.;2.2.1.1.1.21.;4000010;21070;000000000;0000000;100;300;-200;0;0
"2022 VMS IV K.";190022780;0000000;01;201030102;09.01.01.01.;2.2.1.1.1.21.;4000010;21070;000000000;0000000;700;400;300;0;0
"2022 VMS IV K.";190011951;0000000;01;201030102;09.01.01.01.;2.2.1.1.1.21.;4000010;21070;000000000;0000000;800;400;400;0;0
"2022 VMS IV K.";190022442;0000000;01;201030102;09.01.01.01.;2.2.1.1.1.21.;4000010;21070;000000000;0000000;100;400;400;0;-700
"2022 VMS IV K.";190032212;0000000;01;201030102;09.01.01.01.;2.2.1.1.1.21.;4000010;21070;000000000;0000000;700;400;300;0;0
"2022 VMS IV K.";190026654;0000000;01;201030105;09.01.02.01.;2.2.1.1.1.21.;4000080;21070;000000000;0000000;500;500;400;0;-400
"2022 VMS IV K.";190004234;0000000;01;201030105;09.01.02.01.;2.2.1.1.1.21.;4000080;21070;000000000;0000000;2000;600;500;0;900
"2022 VMS IV K.";190032746;0000000;01;201030105;09.01.02.01.;2.2.1.1.1.21.;4000080;21070;000000000;0000000;3900;500;3400;0;0
"2022 VMS IV K.";190009167;0000000;01;201030105;09.01.02.01.;2.2.1.1.1.21.;4000115;21070;000000000;0000000;1200;600;600;0;0
"2022 VMS IV K.";190006057;0000000;01;201010102;09.02.01.01.;2.2.1.1.1.21.;4000150;21070;000000000;0000000;2300;1200;1100;0;0
"2022 VMS IV K.";291221220;0000000;01;201010102;09.02.02.01.;2.2.1.1.1.21.;4000152;21070;000000000;0000000;2200;900;700;100;500
"2022 VMS IV K.";191818093;0000000;01;201020101;09.05.01.01.;2.2.1.1.1.21.;4000240;21070;000000000;0000000;900;500;400;0;0
"2022 VMS IV K.";190032931;0000000;01;201030102;09.01.01.01.;2.2.1.1.1.30.L.;4000010;21070;000000000;0000000;12100;2800;2800;2800;3700
"2022 VMS IV K.";190012487;0000000;01;201030102;09.01.01.01.;2.2.1.1.1.30.L.;4000010;21070;000000000;0000000;11100;2800;2800;2700;2800
"2022 VMS IV K.";190022257;0000000;01;201030102;09.01.01.01.;2.2.1.1.1.30.L.;4000010;21070;000000000;0000000;9600;2600;3700;1600;1700
"2022 VMS IV K.";190020968;0000000;01;201030102;09.01.01.01.;2.2.1.1.1.30.L.;4000010;21070;000000000;0000000;10900;2400;5700;800;2000
"2022 VMS IV K.";190011613;0000000;01;201030102;09.01.01.01.;2.2.1.1.1.30.L.;4000010;21070;000000000;0000000;8400;2300;2300;1800;2000
"2022 VMS IV K.";195008119;0000000;01;201010102;09.02.01.01.;2.2.1.1.1.30.L.;4000150;21070;000000000;0000000;36600;9200;13200;5200;9000
"2022 VMS IV K.";190006057;0000000;01;201010102;09.02.01.01.;2.2.1.1.1.30.L.;4000150;21070;000000000;0000000;34800;8700;8700;8700;8700
"2022 VMS IV K.";290003090;0000000;01;201010102;09.02.01.01.;2.2.1.1.1.30.L.;4000150;21070;000000000;0000000;20700;7300;7600;2000;3800
"2022 VMS IV K.";190007497;0000000;01;201010102;09.02.01.01.;2.2.1.1.1.30.L.;4000150;21070;000000000;0000000;20600;5300;4800;5700;4800
"2022 VMS IV K.";190001843;0000000;01;201010102;09.02.02.01.;2.2.1.1.1.30.L.;4000152;21070;000000000;0000000;44900;8400;19300;8700;8500
"2022 VMS IV K.";190006438;0000000;01;201010102;09.02.02.01.;2.2.1.1.1.30.L.;4000152;21070;000000000;0000000;21000;6000;6000;5700;3300
"2022 VMS IV K.";190009733;0000000;01;201010102;09.02.02.01.;2.2.1.1.1.30.L.;4000152;21070;000000000;0000000;10600;1900;2400;2300;4000
"2022 VMS IV K.";303318623;0000000;01;201030102;09.01.01.01.;2.2.1.1.1.5.;4000011;21070;000000000;0000000;200;100;100;0;0
"2022 VMS IV K.";190018554;0000000;01;201030102;09.01.01.01.;2.2.1.1.1.5.;4000010;21070;000000000;0000000;200;100;100;0;0
"2022 VMS IV K.";190016012;0000000;01;201030102;09.01.01.01.;2.2.1.1.1.5.;4000010;21070;000000000;0000000;100;100;100;0;-100
"2022 VMS IV K.";190020968;0000000;01;201030102;09.01.01.01.;2.2.1.1.1.5.;4000010;21070;000000000;0000000;200;100;100;0;0
"2022 VMS IV K.";190011613;0000000;01;201030102;09.01.01.01.;2.2.1.1.1.5.;4000010;21070;000000000;0000000;200;100;100;0;0
"2022 VMS IV K.";290023730;0000000;01;201030102;09.01.01.01.;2.2.1.1.1.5.;4000010;21070;000000000;0000000;200;100;100;0;0
"2022 VMS IV K.";190026120;0000000;01;201030102;09.01.01.01.;2.2.1.1.1.5.;4000010;21070;000000000;0000000;200;100;100;0;0
"2022 VMS IV K.";190027941;0000000;01;201030102;09.01.01.01.;2.2.1.1.1.5.;4000010;21070;000000000;0000000;300;100;100;0;100
"2022 VMS IV K.";191665861;0000000;01;201030105;09.01.02.01.;2.2.1.1.1.5.;4000080;21070;000000000;0000000;100;100;100;-100;0
"2022 VMS IV K.";302818006;0000000;01;201010102;09.02.01.01.;2.2.1.1.1.5.;4000150;21070;000000000;0000000;100;1600;100;0;-1600
"2022 VMS IV K.";190000894;0000000;01;201010102;09.02.01.01.;2.2.1.1.1.5.;4000150;21070;000000000;0000000;300;100;100;0;100
"2022 VMS IV K.";190003285;0000000;01;201010102;09.02.02.01.;2.2.1.1.1.5.;4000152;21070;000000000;0000000;300;100;100;0;100
"2022 VMS IV K.";191317118;0000000;01;201010102;09.02.02.01.;2.2.1.1.1.5.;4000152;21070;000000000;0000000;300;100;100;100;0
"2022 VMS IV K.";190033990;0000000;01;201030102;09.01.01.01.;2.2.1.1.1.20.3.;4000010;21070;000000000;0000000;7300;1800;1800;1900;1800
"2022 VMS IV K.";190023163;0000000;01;201030102;09.01.01.01.;2.2.1.1.1.20.3.;4000010;21070;000000000;0000000;3400;900;700;1300;500
"2022 VMS IV K.";191665861;0000000;01;201030105;09.01.02.01.;2.2.1.1.1.20.3.;4000080;21070;000000000;0000000;2100;800;700;400;200
"2022 VMS IV K.";190019994;0000000;01;201030102;09.01.01.01.;2.2.1.1.1.2.;4000010;21070;000000000;0000000;300;300;300;-300;0
"2022 VMS IV K.";190019841;0000000;01;201030102;09.01.01.01.;2.2.1.1.1.2.;4000010;21070;000000000;0000000;100;300;200;-400;0
"2022 VMS IV K.";190014157;0000000;01;201030102;09.01.01.01.;2.2.1.1.1.2.;4000010;21070;000000000;0000000;1300;400;300;300;300
"2022 VMS IV K.";191713384;0000000;01;201030105;09.01.02.01.;2.2.1.1.1.2.;4000080;21070;000000000;0000000;600;300;300;0;0
