Reikðmë	Iðversta reikðmë	Apraðas	Ájungtas	Nuo	Iki	[  ]	
4.2.1.4.1.2.	4.2.1.4.1.2.	Ilgalaikës	*			.PAJAMOS.881.	
4.2.1.4.1.2.P.	4.2.1.4.1.2.P.	Ilgalaikës				.PAJAMOS.882.	
4.2.1.4.1.P.	4.2.1.4.1.P.	Paskolos (surinktos)				.PAJAMOS.878.	
4.2.1.4.P.	4.2.1.4.P.	Paskolos (surinktos)				.PAJAMOS.876.	
4.2.1.5.	4.2.1.5.	Akcijos (parduotos) ir kitas nuosavas kapitalas	*			.PAJAMOS.883.	
4.2.1.5.1.	4.2.1.5.1.	Akcijos (parduotos) ir kitas nuosavas kapitalas	*			.PAJAMOS.885.	
4.2.1.5.1.1.	4.2.1.5.1.1.	Akcijos (parduotos) ir kitas nuosavas kapitalas	*			.PAJAMOS.887.	
4.2.1.5.1.1.P.	4.2.1.5.1.1.P.	Akcijos (parduotos) ir kitas nuosavas kapitalas				.PAJAMOS.888.	
4.2.1.5.1.P.	4.2.1.5.1.P.	Akcijos (parduotos) ir kitas nuosavas kapitalas				.PAJAMOS.886.	
4.2.1.5.P.	4.2.1.5.P.	Akcijos (parduotos) ir kitas nuosavas kapitalas				.PAJAMOS.884.	
4.2.1.6.	4.2.1.6.	Draudimo techniniai atidëjiniai	*			.PAJAMOS.889.	
4.2.1.6.1.	4.2.1.6.1.	Draudimo techniniai atidëjiniai	*			.PAJAMOS.891.	
4.2.1.6.1.1.	4.2.1.6.1.1.	Draudimo techniniai atidëjiniai	*			.PAJAMOS.893.	
4.2.1.6.1.1.P.	4.2.1.6.1.1.P.	Draudimo techniniai atidëjiniai				.PAJAMOS.894.	
4.2.1.6.1.P.	4.2.1.6.1.P.	Draudimo techniniai atidëjiniai				.PAJAMOS.892.	
4.2.1.6.P.	4.2.1.6.P.	Draudimo techniniai atidëjiniai				.PAJAMOS.890.	
4.2.1.7.	4.2.1.7.	Kitos gautinos sumos	*			.PAJAMOS.895.	
4.2.1.7.1.	4.2.1.7.1.	Kitos gautinos sumos	*			.PAJAMOS.897.	
4.2.1.7.1.1.	4.2.1.7.1.1.	Trumpalaikës	*			.PAJAMOS.899.	
4.2.1.7.1.1.P.	4.2.1.7.1.1.P.	Kitos gautinos sumos				.PAJAMOS.900.	
4.2.1.7.1.2.	4.2.1.7.1.2.	Ilgalaikës	*			.PAJAMOS.901.	
4.2.1.7.1.P.	4.2.1.7.1.P.	Kitos gautinos sumos				.PAJAMOS.898.	
4.2.1.7.P.	4.2.1.7.P.	Kitos gautinos sumos				.PAJAMOS.896.	
4.2.1.P.	4.2.1.P.	Vidaus				.PAJAMOS.848.	
4.2.2.	4.2.2.	Uþsienio	*			.PAJAMOS.902.	
4.2.2.1.	4.2.2.1.	Grynieji pinigai ir indëliai banke (uþsienio valiuta)	*			.PAJAMOS.904.	
4.2.2.1.1.	4.2.2.1.1.	Grynieji pinigai ir indëliai banke (uþsienio valiuta)	*			.PAJAMOS.906.	
4.2.2.1.1.1.	4.2.2.1.1.1.	Grynieji pinigai	*			.PAJAMOS.908.	
4.2.2.1.1.1.P.	4.2.2.1.1.1.P.	Grynieji pinigai				.PAJAMOS.909.	
4.2.2.1.1.2.	4.2.2.1.1.2.	Pervedamieji indëliai (pinigai bankuose)	*			.PAJAMOS.910.	
4.2.2.1.1.2.P.	4.2.2.1.1.2.P.	Pervedamieji indëliai (pinigai bankuose)				.PAJAMOS.911.	
4.2.2.1.1.3.	4.2.2.1.1.3.	Kiti ilgalaikiai indëliai (pinigai bankuose)	*			.PAJAMOS.912.	
4.2.2.1.1.3.P.	4.2.2.1.1.3.P.	Kiti indëliai (pinigai bankuose)				.PAJAMOS.913.	
4.2.2.1.1.4.	4.2.2.1.1.4.	Kiti trumpalaikiai indëliai (pinigai bankuose)	*			.PAJAMOS.914.	
4.2.2.1.1.P.	4.2.2.1.1.P.	Grynieji pinigai ir indëliai banke (uþsienio valiuta)				.PAJAMOS.907.	
4.2.2.1.P.	4.2.2.1.P.	Grynieji pinigai ir indëliai banke (uþsienio valiuta)				.PAJAMOS.905.	
4.2.2.2.	4.2.2.2.	Vertybiniai popieriai (parduoti), iðskyrus akcijas	*			.PAJAMOS.915.	
4.2.2.2.1.	4.2.2.2.1.	Vertybiniai popieriai (parduoti), iðskyrus akcijas	*			.PAJAMOS.917.	
4.2.2.2.1.1.	4.2.2.2.1.1.	Trumpalaikiai	*			.PAJAMOS.919.	
4.2.2.2.1.1.P.	4.2.2.2.1.1.P.	Trumpalaikiai				.PAJAMOS.920.	
4.2.2.2.1.2.	4.2.2.2.1.2.	Ilgalaikiai	*			.PAJAMOS.921.	
4.2.2.2.1.2.P.	4.2.2.2.1.2.P.	Ilgalaikiai				.PAJAMOS.922.	
4.2.2.2.1.P.	4.2.2.2.1.P.	Vertybiniai popieriai (parduoti), iðskyrus akcijas				.PAJAMOS.918.	
4.2.2.2.P.	4.2.2.2.P.	Vertybiniai popieriai (parduoti), iðskyrus akcijas				.PAJAMOS.916.	
4.2.2.3.	4.2.2.3.	Iðvestinës finansinës priemonës	*			.PAJAMOS.923.	
4.2.2.3.1.	4.2.2.3.1.	Iðvestinës finansinës priemonës	*			.PAJAMOS.925.	
4.2.2.3.1.1.	4.2.2.3.1.1.	Trumpalaikës	*			.PAJAMOS.927.	
4.2.2.3.1.1.P.	4.2.2.3.1.1.P.	Iðvestinës finansinës priemonës				.PAJAMOS.928.	
4.2.2.3.1.2.	4.2.2.3.1.2.	Ilgalaikës	*			.PAJAMOS.929.	
4.2.2.3.1.P.	4.2.2.3.1.P.	Iðvestinës finansinës priemonës				.PAJAMOS.926.	
4.2.2.3.P.	4.2.2.3.P.	Iðvestinës finansinës priemonës				.PAJAMOS.924.	
4.2.2.4.	4.2.2.4.	Paskolos (surinktos)	*			.PAJAMOS.930.	
4.2.2.4.1.	4.2.2.4.1.	Paskolos (surinktos)	*			.PAJAMOS.932.	
4.2.2.4.1.1.	4.2.2.4.1.1.	Trumpalaikës	*			.PAJAMOS.934.	
4.2.2.4.1.1.P.	4.2.2.4.1.1.P.	Trumpalaikës				.PAJAMOS.935.	
