Reikðmë	Iðversta reikðmë	Apraðas	Ájungtas	Nuo	Iki	[  ]	
0276	0276	Ið apskrièiø perduotoms ástaigoms iðlaikyti (kultûros)	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
0277	0277	Ið apskrièiø perduotoms ástaigoms iðlaikyti (sveikatos apsaugos)	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
0278	0278	Lëðos mokykloms ir klasëms, skirtoms mokiniams, turintiems specialiøjø ugdymosi poreikiø	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
02B	02B	Valstybës biudþeto specialioji tikslinë dotacija (suminis)	*			.Ne................Ne.................	
03	03	Europos Sàjungos lëðos	*			.Ne..Biudþeto skyrius EUR..4231001.4231004.4231001.4231004.4232001.4232004.4231002..7013001..4232003.Taip..Taip.Taip.7013002.7023001.4232002.2282101.4231003.4232003.4231003.2282101.2282101..4131001.4132001.4131001.2223001.4231002	
04	04	Uþsienio fondai	*			.Ne..Biudþeto skyrius EUR..4211001.4211004.4211001.4211004.4212001.4212004.4211002..7011001..4212003.Taip..Ne..7011002.7021001.4212002.2282101.4211003.4212003.4211003.2282101.2282101..4111001.4112001.4111001.2221001.4211002	
05	05	Savivaldybës privatizavimo fondas	*			.Ne.Taip.Privatizavimo fondas EUR..4261201.4261204.4261201.4261204.4262201.4262204.4261202..7016201..4262203.Taip..Taip..7016202.7026201.4262202.2282101.4261203.4262203.4261203.2282101.2282101..4161201.4162201.4161201.2226201.4261202	
06	06	Aplinkos apsaugos rëmimo specialioji programa (Sveikatos apsaugos priemonës)	*			.Taip.Taip.Biudþeto skyrius EUR..4251001.4251004.4251001.4251004.4252001.4252004.4251002..7015001..4252003.Taip..Taip..7015002.7025001.4252002.2282101.4251003.4252003.4251003.2282101.2282101..4151001.4152001.4151001.2225001.4251002	
07	07	Aplinkos apsaugos rëmimo specialioji programa (Aplinkos apsaugos priemonës)	*			.Taip.Taip.Biudþeto skyrius EUR..4251001.4251004.4251001.4251004.4252001.4252004.4251002..7015001..4252003.Taip..Taip..7015002.7025001.4252002.2282101.4251003.4252003.4251003.2282101.2282101..4151001.4152001.4151001.2225001.4251002	
08	08	Keliø prieþiûros ir plëtros programa	*			.Ne..Biudþeto skyrius EUR..4241101.4241104.4241101.4241104.4242101.4242104.4241102..7014101.Paskolos valstybës vardu.4242103.Taip..Taip..7014102.7024101.4242102.2282101.4241103.4242103.4241103.2282101.2282101..4141101.4142101.4141101.2224101.4241102	
09	09	Uþimtumo fondas	*			.Taip..Biudþeto skyrius EUR..4261101.4261104.4261101.4261104.4262101.4262104.4261102..7016101..4262103.Taip..Taip..7016102.7026101.4262102.2282101.4261103.4262103.4261103.2282101.2282101..4161101.4162101.4161101.2226101.4261102	
10	10	Specialioji valstybës paramos gyvenamiesiems namams, butams ásigyti finansavimo programa	*			.Ne..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip..Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
11	11	Valstybës biudþetas	*			.Ne..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip..Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
12	12	Valstybës privatizavimo fondas	*			.Ne..Biudþeto skyrius EUR..4261101.4261104.4261101.4261104.4262101.4262104.4261102..7016101..4262103.Taip..Taip..7016102.7026101.4262102.2282101.4261103.4262103.4261103.2282101.2282101..4161101.4162101.4161101.2226101.4261102	
13	13	Skolintos lëðos (Paskolos savivaldybës vardu)	*			.Taip.Taip.Biudþeto skyrius EUR..4251001.4251004.4251001.4251004.4252001.4252004.4251002..7015001.Paskolos savivaldybës vardu.4252003.Taip..Taip..7015002.7025001.4252002.2282101.4251003.4212003.4251003.2282101.2282101..4151001.4152001.4151001.2225001.4251002	
14	14	Nuosavos lëðos (Savivaldybës ámoniø)	*			.Ne..Biudþeto skyrius EUR..4261001.4261004.4261001.4261004.4262001.4262004.4261002..7016001..4262003.Taip..Ne..7016002.7026001.4262002.2282101.4261003.4262003.4261003.2282101.2282101..4161001.4162001.4161001.2226401.4261002	
15	15	Privaèios - investuotojø lëðos	*			.Ne..Biudþeto skyrius EUR..4261001.4261004.4261001.4261004.4262001.4262004.4261002..7016001..4262003.Taip..Ne..7016002.7026001.4262002.2282101.4261003.4262003.4261003.2282101.2282101..4161001.4162001.4161001.2226001.4261002	
16	16	Administracijos direktoriaus rezervas	*			.Taip.Taip.Biudþeto skyrius EUR..4251001.4251004.4251001.4251004.4252001.4252004.4251002..7015001..4252003.Taip..Taip..7015002.7025001.4252002.2282101.4251003.4252003.4251003.2282101.2282101..4151001.4152001.4151001.2225001.4251002	
17	17	Bendrosios dotacijos kompensacija	*			.Taip..Biudþeto skyrius EUR........4241002..7014001..4242003...Taip................	
1746	1746	Dël darbo uþmokesèio koeficiento taikymo 2002-2004 m.	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
1755	1755	Valstybës tarnybos ástatymo ágyvendinimui				.Taip..Biudþeto skyrius EUR........4241002..7014001..4242003.Taip.Ne.Taip................	
1756	1756	Þeldiniams ir þeldynams inventorizuoti ir jiems áraðyti á nekilnojamojo turto kadastrà	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
1757	1757	Gyvenamosios vietos deklaravimas	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
