Reikðmë	Iðversta reikðmë	Apraðas	Ájungtas	Nuo	Iki	[  ]	
1030500	1030500	Planavimo ir apskaitos skyrius				.	
1030600	1030600	Ðvietimo skyrius				.	
1030601	1030601	Neformaliojo ðvietimo poskyris				.	
1030602	1030602	Ðvietimo analizës ir planavimo poskyris				.	
1030603	1030603	Ðvietimo organizavimo poskyris				.	
1030604	1030604	Vadybinës ir pedagoginës veiklos iðorës audito poskyris				.	
1030700	1030700	Turizmo ir miesto ávaizdþio skyrius				.	
103T	103T	Komunalinio ûkio departamentas				.	
10400	10400	Europos Sàjungos paramos koordinavimo skyrius				.	
1040000	1040000	Komunalinio ûkio departamentas				.	
10401	10401	Projektø finansø poskyris				.	
1040100	1040100	Eismo organizavimo skyrius			2010-12-01	.	
1040101	1040101	Eismo valdymo poskyris				.	
1040102	1040102	Kontrolës poskyris				.	
1040103	1040103	Vieðojo transporto poskyris				.	
1040104	1040104	Þemës darbø prieþiûros poskyris				.	
10402	10402	Projektø ágyvendinimo poskyris				.	
1040200	1040200	Energetikos ir statiniø skyrius			2010-05-01	.	
1040201	1040201	Energetikos poskyris				.	
1040202	1040202	Pastatø administravimo poskyris				.	
1040203	1040203	Statiniø naudojimo prieþiûros poskyris				.	
10403	10403	Projektø rengimo poskyris				.	
1040300	1040300	Infrastruktûros projektø skyrius				.	
1040301	1040301	Eksploatacijos poskyris				.	
1040302	1040302	Investiciniø projektø poskyris				.	
1040303	1040303	Sàlygø iðdavimo ir projektø derinimo poskyris				.	
1040304	1040304	Statybos ir rekonstrukcijos poskyris				.	
1040400	1040400	Miesto tvarkymo skyrius			2010-05-01	.	
1040401	1040401	Komunalinio ûkio poskyris				.	
1040402	1040402	Teritorijø tvarkymo poskyris				.	
1040403	1040403	Þeldynø poskyris			2010-12-01	.	
1040500	1040500	Planavimo ir apskaitos skyrius				.	
1040501	1040501	Apskaitos ir analizës poskyris				.	
1040502	1040502	Investicijø apskaitos poskyris				.	
1040503	1040503	Planavimo ir sutarèiø poskyris				.	
1040600	1040600	Ðvietimo skyrius			2010-06-02	.	
1040700	1040700	Turizmo ir miesto ávaizdþio skyrius			2010-06-02	.	
104T	104T	Kultûros ir ugdymo departamentas (suminis)				.	
10500	10500	Aplinkos apsaugos skyrius				.	
1050000	1050000	Miesto plëtros departamentas				.	
10501	10501	Aplinkos kokybës kontrolës poskyris				.	
1050100	1050100	Bendrojo ir specialiojo planavimo skyrius				.	
1050101	1050101	Geodezijos ir kartografijos poskyris			2010-05-01	.	
10502	10502	Atliekø tvarkymo administravimo poskyris				.	
1050200	1050200	Detaliojo planavimo skyrius				.	
1050201	1050201	Miesto centrinës teritorijos poskyris				.	
1050202	1050202	Miesto pietinës teritorijos poskyris				.	
1050203	1050203	Miesto rytinës teritorijos poskyris				.	
1050204	1050204	Miesto ðiaurinës teritorijos poskyris				.	
1050205	1050205	Miesto vakarinës teritorijos poskyris				.	
10503	10503	Tarðos maþinimo ir programø rengimo poskyris				.	
1050300	1050300	Plëtros ir planavimo skyrius				.	
1050301	1050301	Miesto projektø poskyris				.	
1050302	1050302	Tarptautiniø projektø poskyris				.	
10504	10504	Þeldynø ir vandens apsaugos poskyris				.	
1050400	1050400	Sàlygø sàvado skyrius				.	
1050401	1050401	Inþineriniø sàlygø poskyris				.	
1050402	1050402	Sàvado rengimo poskyris				.	
1050500	1050500	Statybø leidimø skyrius				.	
1050501	1050501	Dokumentø kontrolës poskyris				.	
1050502	1050502	Leidimø áforminimo poskyris				.	
1050503	1050503	Projektø patikrinimo poskyris				.	
1050600	1050600	Miestovaizdþio skyrius				.	
1050601	1050601	Miesto estetikos poskyris				.	
1050602	1050602	Þeldynø poskyris				.	
1050700	1050700	Þemës duomenø administravimo skyrius				.	
1050701	1050701	Geodezijos ir kartografijos poskyris				.	
1050702	1050702	Þemës kadastro duomenø poskyris				.	
1050703	1050703	Þemës privatizavimo ir nuomos poskyris				.	
1050704	1050704	Þemës restitucijos poskyris				.	
1050800	1050800	Kultûros paveldo skyrius				.	
1050900	1050900	Planavimo ir apskaitos skyrius				.	
105T	105T	Miesto plëtros departamentas (suminis)				.	
10600	10600	Uþsienio ryðiø skyrius				.	
1060000	1060000	Ðvietimo departamentas	*			.Taip	
10601	10601	Protokolo poskyris				.	
1060100	1060100	Neformaliojo ðvietimo skyrius				.	
10602	10602	Strateginës partnerystës poskyris				.	
1060200	1060200	Ðvietimo planavimo ir organizavimo skyrius				.	
1060201	1060201	Socialinio darbo poskyris				.	
10603	10603	Tarptautinio bendradarbiavimo poskyris				.	
1060300	1060300	Ðvietimo analizës, vadybinës ir pedagoginës veiklos koordinavimo skyrius				.	
1060400	1060400	Vieðosios tvarkos skyrius			2010-05-01	.	
1060401	1060401	Kontrolës poskyris				.	
1060500	1060500	Sveikatos skyrius				.	
1060600	1060600	Vaikø teisiø apsaugos skyrius				.	
106T	106T	Socialiniø reikalø departamentas (suminis)				.	
10700	10700	Analizës ir strateginio planavimo skyrius				.	
1070000	1070000	Teisës departamentas				.	
1070100	1070100	Civilinës metrikacijos skyrius				.	
1070200	1070200	Juridinis skyrius				.	
1070201	1070201	Nuosavybës teisiø atkûrimo poskyris				.	
1070202	1070202	Sutarèiø derinimo poskyris				.	
1070211	1070211	Nuomotojai				.	
1070212	1070212	Nuomuotojai				.	
1070300	1070300	Teisës taikymo skyrius				.	
1070400	1070400	Teisinës pagalbos skyrius				.	
1070500	1070500	Sutarèiø skyrius				.	
107T	107T	Teisës departamentas (suminis)				.	
10800	10800	Antakalnio seniûnija				.	
1080000	1080000	Personalo departamentas				.	
1080100	1080100	Apskaitos ir organizavimo skyrius				.	
1080200	1080200	Kompetencijos ir ugdymo skyrius				.	
1080300	1080300	Etikos ir nusiþengimø tyrimo skyrius				.	
1080400	1080400	Archyvas			2010-05-01	.	
1080500	1080500	Interesantø aptarnavimo skyrius			2010-05-01	.	
1080501	1080501	Leidimø ir komunikacijos poskyris				.	
1080502	1080502	Priimamasis				.	
1080503	1080503	Pirmasis poskyris				.	
1080504	1080504	Antrasis poskyris				.	
1080505	1080505	Treèiasis poskyris				.	
1080506	1080506	Leidimø poskyris				.	
1080507	1080507	Informacijos poskyris				.	
108T	108T	Personalo departamentas (suminis)				.	
10900	10900	Fabijoniðkiø seniûnija				.	
1090000	1090000	Socialiniø reikalø departamentas				.	
1090100	1090100	Planavimo ir apskaitos skyrius				.	
1090200	1090200	Socialinës paramos skyrius				.	
1090201	1090201	Socialinio darbo poskyris				.	
1090202	1090202	Socialiniø paslaugø planavimo ir prieþiûros poskyris				.	
1090300	1090300	Socialinio bûsto skyrius				.	
1090400	1090400	Socialiniø projektø skyrius				.	
1090500	1090500	Sveikatos skyrius				.	
1090600	1090600	Vaikø teisiø apsaugos skyrius				.	
1090601	1090601	Duomenø valdymo ir analizës poskyris				.	
1090602	1090602	Globos ir ávaikinimo poskyris				.	
1090603	1090603	Vaiko ir ðeimos prieþiûros poskyris				.	
1090604	1090604	Vaiko teisiø atstovavimo poskyris				.	
1090605	1090605	Seniûnijø inspektoriø ir mobiliosios pagalbos poskyris				.	
1095000	1095000	SÁ				.	
1095001	1095001	SÁ „Susisiekimo paslaugos“				.	
1097000	1097000	UAB				.	
1097001	1097001	UAB „Ðnipiðkiø ûkis“				.	
1097002	1097002	UAB „Ðilumneðis“				.	
1097003	1097003	UAB „Grigiðkiø komunalinis ûkis“				.	
1097004	1097004	UAB „Vilniaus autobusai“				.	
1097005	1097005	UAB „Rasø valda“				.	
1097006	1097006	UAB „Jurita“				.	
1097007	1097007	UAB „Senamiesèio ûkis“				.	
