Reikðmë	Iðversta reikðmë	Apraðas	Ájungtas	Nuo	Iki	[  ]	
01070103	01070103	Skolø mokëjimas pagal pasiraðytas skolø gràþinimo sutartis ir kitø finansiniø ásipareigojimø vykdymas	*			..Ne.......	
0108	0108	Uþtikrinti tinkamà vaikø sveikatos prieþiûrà pradinio ugdymo ir  bendrojo lavinimo mokyklose	*			..Ne....Ne...	
010801	010801	Finansuoti sveikatos prieþiûrà bendrojo lavinimo ástaigose	*			..Ne....Ne...	
01080101	01080101	Medicinos personalo iðlaikymas pradinio mokymo ástaigose	*			..Ne....Ne...	
01080102	01080102	Medicinos personalo iðlaikymas bendrojo lavinimo ástaigose	*			..Ne....Ne...	
01080103	01080103	Medicinos personalo iðlaikymas kitø steigëjø mokyklose	*			..Ne.......	
0109	0109	Plëtoti ðvietimo ir ugdymo ástaigø infrastruktûrà	*			..Ne....Ne...	
010901	010901	Remontuoti, renovuoti ir atnaujinti ðvietimo ir ugdymo ástaigas	*			..Ne....Ne...	
01090101	01090101	Remonto darbø atlikimas	*			..Ne....Ne...	
01090102	01090102	Remonto darbø atlikimas ikimokyklinio ugdymo ástaigose	*			..Ne....Ne...	
01090102001	01090102001	Vilniaus miesto ðvietimo ástaigø remonto darbai ir árangos ásigijimas	*			..Taip.......	
01090102002	01090102002	Materialiojo ir nematerialiojo turto ásigijimas ugdymo ástaigoms	*			..Ne.......	
01090102003	01090102003	Vilniaus miesto ugdymo ástaigø sporto aikðteliø renovavimas	*			..Ne.......	
01090102004	01090102004	Ugdymo ástaigø "Langø-stogø-sanmazgø keitimo programa"	*			..Ne.......	
01090102005	01090102005	Ðvietimo ástaigø kapitalinis remontas (dalinai finansuojamas Lenkijos Respublikos fondo "Wspolnota Polska")	*			..Taip.......	
01090102006	01090102006	Ugdymo ástaigø rekonstravimas, modernizavimas, árangos ir minkðto inventoriaus ásigijimas	*			..Ne.......	
01090102007	01090102007	Vilniaus lopðelio-darþelio "Giluþis" remonto darbams atlikti**	*			..Ne.......	
01090102008	01090102008	Energijos vartojimo efektyvumo didinimas l-d "Pasaka" (ES)	*			..Ne.......	
01090102009	01090102009	Vilniaus specialiojo lopðelio-darþelio „Èiauðkutis“ ugdomosios aplinkos modernizavimas	*			..Ne.......	
01090102010	01090102010	Vilniaus „Þilvinëlio“ lopðelio-darþelio ugdomosios aplinkos modernizavimas	*			..Ne.......	
01090102011	01090102011	Darþelio vidaus patalpø modernizavimas ir árangos atnaujinimas (Vilniaus lopðelis-darþelis „Strazdelis“)	*			..Ne.......	
01090102012	01090102012	Vilniaus lopðelio-darþelio „Daigelis“ modernizavimas ir pritaikymas ávairius poreikius turinèiø vaikø ugdymui ir visuomenës ðvietimui	*			..Ne.......	
01090102013	01090102013	Vilniaus lopðelio-darþelio „Berþynëlis“ patalpø ir árangos atnaujinimas	*			..Ne.......	
01090102014	01090102014	Vilniaus lopðelio-darþelio „Vaidilutë“ patalpø ir árangos atnaujinimas	*			..Ne.......	
01090102015	01090102015	Vilnaus lopðelio-darþelio „Krivûlë“ modernizavimas	*			..Ne.......	
01090102016	01090102016	Vilniaus lopðelio-darþelio „Pelëda“ metodinës ir ugdomosios aplinkos atnaujinimas	*			..Ne.......	
01090102017	01090102017	Vilniaus lopðelio-darþelio „Coliukë“ vidaus aplinkos modernizavimas ir pritaikymas ávairiø ugdymo(si) poreikiø vaikams nuo gimimo iki 7 metø	*			..Ne.......	
01090102018	01090102018	Ikimokyklinio ugdymo ástaigos Vilniaus lopðelio-darþelio „Vieversys“ modernizavimas	*			..Ne.......	
01090102019	01090102019	Vilniaus lopðelio-darþelio „Gëlynas“ ugdymo patalpø modernizavimas	*			..Ne.......	
01090102020	01090102020	Vilniaus lopðelio-darþelio „Pumpurëlis“ ikimokyklinio ir prieðmokyklinio ugdymo aplinkos gerinimas	*			..Ne.......	
01090102021	01090102021	Ikimokyklinio ugdymo ástaigos Vilniaus lopðelio-darþelio „Atþalëlës“ modernizavimas	*			..Ne.......	
01090102022	01090102022	Vilniaus lopðelio-darþelio „Medynëlis“ patalpø modernizavimas	*			..Ne.......	
